"source","target","id","developer_comments"
"balloon#afe11a7d0caeb3c641f7c93d3e2d2b67","唔～[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]我现在对[emb exp='tf.names.NPC.mashima']没有特别在意的事情呢。","balloon#afe11a7d0caeb3c641f7c93d3e2d2b67","机翻辅助：

唔～[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]我现在对[emb exp='tf.names.NPC.mashima']没有特别在意的事情呢。

嗯。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]关于[emb exp='tf.names.NPC.mashima']，现在没有什么特别在意的。

嗯。关于[emb exp='tf.names.NPC.mashima']，现在没有特别在意的事了。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]"
"balloon#a727f73f127195be0ce2e06c8285ccb4","看来我已经解决了[emb exp='tf.names.itsuki.NPC']在意的[emb exp='tf.names.itsuki.mashima']的事情。","balloon#a727f73f127195be0ce2e06c8285ccb4","机翻辅助：

看来我已经解决了[emb exp='tf.names.itsuki.NPC']在意的[emb exp='tf.names.itsuki.mashima']的事情。

[emb exp='tf.names.itsuki.NPC']对[emb exp='tf.names.itsuki.mashima']在意的事情，好像已经解决了。

[emb exp='tf.names.itsuki.NPC']对[emb exp='tf.names.itsuki.mashima']的关心似乎已经解决了。"
"balloon#250ba6512e16bc8293e116496bc34c3b","你又问了[emb exp='tf.names.NPC.me']这件事……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]你怀疑[emb exp='tf.names.NPC.me']吗？","balloon#250ba6512e16bc8293e116496bc34c3b","机翻辅助：

你又问了[emb exp='tf.names.NPC.me']这件事……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]你怀疑[emb exp='tf.names.NPC.me']吗？

你还问[emb exp='tf.names.NPC.me']那个是……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]你在怀疑[emb exp='tf.names.NPC.me']吗？

再问[emb exp='tf.names.NPC.me']那个的话……[l][chara_mod time=""@f1"" name=""NPC"" face=""trouble""]你在怀疑[emb exp='tf.names.NPC.me']吗？"
"balloon#ec605fc5eb1c8701a2ec25e4befb7c55","不、不是那样……","balloon#ec605fc5eb1c8701a2ec25e4befb7c55","机翻辅助：

不、不是那样……

不、不是这样的……

不、不是那样的……"
"balloon#6af76b2a887b9ed75474b23541ccb70e","……算了。","balloon#6af76b2a887b9ed75474b23541ccb70e","机翻辅助：

……算了。

……算了吧。"
"balloon#931fc0e6a9c930aa4396db4840617182","[emb exp='tf.names.NPC.me']也在怀疑[emb exp='tf.names.NPC.itsuki']。","balloon#931fc0e6a9c930aa4396db4840617182","机翻辅助：

[emb exp='tf.names.NPC.me']也在怀疑[emb exp='tf.names.NPC.itsuki']。

因为[emb exp='tf.names.NPC.me']也怀疑[emb exp='tf.names.NPC.itsuki']。"
"balloon#f8be7274b97e25bb6ba770d31d109383","[emb exp='tf.names.NPC.me']的确和[emb exp='tf.names.NPC.mashima']在一起。","balloon#f8be7274b97e25bb6ba770d31d109383","机翻辅助：

[emb exp='tf.names.NPC.me']的确和[emb exp='tf.names.NPC.mashima']在一起。

确实[emb exp='tf.names.NPC.me']和[emb exp='tf.names.NPC.mashima']在一起。

[emb exp='tf.names.NPC.me']确实和[emb exp='tf.names.NPC.mashima']在一起。"
"balloon#4f0436a5e8dae7c6cb567efd798fd014","而且我刚才也说过，当时[font color=@3]在[resetfont]的脚边藏了什么东西，让我很在意。","balloon#4f0436a5e8dae7c6cb567efd798fd014","机翻辅助：

而且我刚才也说过，当时[font color=@3]在[resetfont]的脚边藏了什么东西，让我很在意。

然后刚才也说了，我很在意他那个时候在脚边隐藏什么的动作。[font color=@3][resetfont]

而且刚才也说过了，当时我很在意他在脚下隐藏的动作。[font color=@3][resetfont]"
"balloon#f96722f3bd9c7805a7910cee59fd6234","在照相馆前的[font color=@3]做出把东西藏在脚边的举止[resetfont]吗……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]的确令人在意呢。","balloon#f96722f3bd9c7805a7910cee59fd6234","机翻辅助：

在照相馆前的[font color=@3]做出把东西藏在脚边的举止[resetfont]吗……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]的确令人在意呢。

在照相馆前的[font color=@3]脚下隐藏着什么的动作[resetfont]……[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]确实很在意啊。

在照相馆前的[font color=@3]在脚边隐藏什么的动作[resetfont]吗……确实很在意。[l][chara_mod time=""@f1"" name=""主人公"" face=""think""]"
"balloon#a0ab5c2342058c49abfb899eb04e0620","我确实是在照相馆前遇到[emb exp='tf.names.NPC.mashima']的。[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]可是……","balloon#a0ab5c2342058c49abfb899eb04e0620","机翻辅助：

我确实是在照相馆前遇到[emb exp='tf.names.NPC.mashima']的。[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]可是……

我确实在照相馆前面遇到过[emb exp='tf.names.NPC.mashima']。[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]但是……

我确实在照相馆前见过[emb exp='tf.names.NPC.mashima']。[l][chara_mod time=""@f1"" name=""NPC"" face=""panic""]但是……"
