"source","target","id","developer_comments"
"balloon#0a3512dc98f81a02f027d784ce9d4e53","“式音島の神隠し”か……。","balloon#0a3512dc98f81a02f027d784ce9d4e53","NPC"
"balloon#b141610911c22c22dfe0a19957997100","ずいぶん昔のことだし、[emb exp='tf.names.NPC.me']も正直、噂話以上のことは知らないな。","balloon#b141610911c22c22dfe0a19957997100","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#12234144c3b0efff81856d9916a62b8c","[emb exp='tf.names.itsuki.NPC']は、“神隠し”についてそこまで詳しくは知らないみたいだ。","balloon#12234144c3b0efff81856d9916a62b8c","主人公"
"balloon#43dd108c2be36afbbd0576c4fae1268f","でも[emb exp='tf.names.NPC.chiyo']と話すときは、少し気をつけたほうがいいぜ。","balloon#43dd108c2be36afbbd0576c4fae1268f","NPC"
"balloon#337cd4422aaa1b02299bf8b40bf62b7c","え、どういうこと？","balloon#337cd4422aaa1b02299bf8b40bf62b7c","主人公"
"balloon#430e54867aa35bf7ddf98a5c32e2b5ab","普段は超がつくほど温厚な[emb exp='tf.names.NPC.chiyo']もよ……","balloon#430e54867aa35bf7ddf98a5c32e2b5ab","NPC"
"balloon#f0e79e41f5ec11e705b04fb816988d6d","人から[font color=@3][emb exp='tf.names.NPC.tetsuo']の話をされたときだけは怒ったりする[resetfont]んだわ。","balloon#f0e79e41f5ec11e705b04fb816988d6d","NPC"
"balloon#bc11fac12056837d336909980a78faa2","まあ、当然だよな……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""][emb exp='tf.names.NPC.chiyo']にとって、忘れられるわけがない事件だからな。","balloon#bc11fac12056837d336909980a78faa2","NPC"
"balloon#4625de665a8f31520ba41dce20e4d15f","あの[emb exp='tf.names.itsuki.chiyo']でも、[font color=@3][emb exp='tf.names.itsuki.tetsuo']の話には感情的になる[resetfont]ことがあるのか。","balloon#4625de665a8f31520ba41dce20e4d15f","主人公"
"speaker_主人公","主人公","speaker_主人公",""
