"source","target","id","developer_comments"
"balloon#e364d23be17051d978807ff729b6a327","気になること、そうね……。","balloon#e364d23be17051d978807ff729b6a327","NPC"
"balloon#ea1341051b4dfdff7d6526c040d85096","実は、妙なことがあったのよ。","balloon#ea1341051b4dfdff7d6526c040d85096","NPC"
"balloon#231c2141f8311b80fe5af6624a1d3057","台所の包丁とまな板なんだけどね……。","balloon#231c2141f8311b80fe5af6624a1d3057","NPC"
"balloon#400f135af003f6ebec5e0541f31dd98d","……包丁とまな板、それがどうかしたの？","balloon#400f135af003f6ebec5e0541f31dd98d","主人公"
"balloon#46b1abf287c903c04e61f790881efec5","[emb exp='tf.names.NPC.me']はスイカを切ったあと、これを一度洗って片付けたのよ。","balloon#46b1abf287c903c04e61f790881efec5","NPC"
"balloon#dd60f0d92400dddb2db3a5ce51c76519","でも[font color=@3]14:44[resetfont]に台所に戻ったとき、[font color=@3]包丁とまな板が使われた[resetfont]状態になってたのよね。","balloon#dd60f0d92400dddb2db3a5ce51c76519","NPC"
"balloon#199faea8eae7aaf1f5a0083e34bdc35f","片付けたはずの[font color=@3]包丁とまな板が使われた[resetfont]状態になっていたのか……。","balloon#199faea8eae7aaf1f5a0083e34bdc35f","主人公"
"balloon#316f3218d16caa0997bde40efd2fa1b6","ほんと、不思議よね。","balloon#316f3218d16caa0997bde40efd2fa1b6","NPC"
"balloon#d3f5504960c651e668a2759fb646c137","そして……","balloon#d3f5504960c651e668a2759fb646c137","NPC"
"balloon#7338607dd67d8132945f77830a375da4","[font color=@3]包丁とまな板が使われた理由[resetfont]が、消えたスイカに関わっていると思うの。","balloon#7338607dd67d8132945f77830a375da4","NPC"
"balloon#d084f7e310bd11ef28094155dd56e5c4","たしかに、誰かが何らかの理由でこれを使ったとしか思えない。","balloon#d084f7e310bd11ef28094155dd56e5c4","主人公"
"balloon#9dadbc40c843f5e5a288f00e31a397f7","よし、[font color=@3]包丁とまな板が使われた理由[resetfont]について考えてみよう。","balloon#9dadbc40c843f5e5a288f00e31a397f7","主人公"
"balloon#a7fba43c19344ffb118f575e114c0d92","[emb exp='tf.names.NPC.me']も調べてみるけど、もしなにかわかったら教えてくれるかしら？","balloon#a7fba43c19344ffb118f575e114c0d92","NPC"
"balloon#c13ed63969872494b56ec1b86d8e8afd","うん、すぐ[emb exp='f.npc_nickname']に知らせるね。","balloon#c13ed63969872494b56ec1b86d8e8afd","主人公"
"balloon#bdf90485dbce7f40978a5eeb0947b8eb","ありがとう。","balloon#bdf90485dbce7f40978a5eeb0947b8eb","NPC"
"balloon#845f08dd39ec310a6fb21de8e74e58bf","[emb exp='tf.names.NPC.itsuki']は、いい子ね。","balloon#845f08dd39ec310a6fb21de8e74e58bf","NPC"
"balloon#0e5e0e716e40ba2e6bf62c595711b50d","包丁とまな板が使われていたってことは、誰かが何かを切ったのかな……？","balloon#0e5e0e716e40ba2e6bf62c595711b50d","主人公"
"balloon#73414cbd5fc10efb3dcd43b1c1963855","[font color=@3]何を切ったかわかれば[resetfont]、それが答えだ。","balloon#73414cbd5fc10efb3dcd43b1c1963855","主人公"
"speaker_主人公","主人公","speaker_主人公",""
