"source","target","id","developer_comments"
"balloon#b5311447262494bce8ca983f261a1a86","[emb exp='tf.names.itsuki.NPC']が最多票か……。","balloon#b5311447262494bce8ca983f261a1a86","主人公"
"balloon#92af2f275412a00d97061d7f7b76d3cd","もう、[emb exp='tf.names.itsuki.NPC']を疑うしかない。","balloon#92af2f275412a00d97061d7f7b76d3cd","主人公"
"balloon#5f400700a896f4ac64ca0b314cc2eb51","[emb exp='tf.names.itsuki.NPC']、君がスイカを……。","balloon#5f400700a896f4ac64ca0b314cc2eb51","主人公"
"balloon#7ccb2e7cc1f7a1a3dcec49068bec3014","お前だったのか、[emb exp='tf.names.yohei.iroha']！？","balloon#7ccb2e7cc1f7a1a3dcec49068bec3014","陽平"
"balloon#22c9fb391e630d4d1962fa66d03f8993","……そうね、[emb exp='tf.names.NPC.me']が食べたってことでいいわ。","balloon#22c9fb391e630d4d1962fa66d03f8993","NPC"
"balloon#c1206e5fa2834446bbe7a3ca34afb11f","もう、それなら最初からそう言ってよ！","balloon#c1206e5fa2834446bbe7a3ca34afb11f","歌葉"
"balloon#38b1a3b32a532683f01f06728ae0ae74","はいはい……[l][chara_mod time=""@f1"" name=""NPC"" face=""stunned"" position=""right""]ごめんね、[emb exp='tf.names.NPC.utaha']。","balloon#38b1a3b32a532683f01f06728ae0ae74","NPC"
"balloon#d1c67ad64544204c6441095b79051149","みんな仲良くしてね、喧嘩しないの。","balloon#d1c67ad64544204c6441095b79051149","千世"
"balloon#1ab27a7de2c69d25c38934a632a8aa0b","そうよ……[emb exp='tf.names.NPC.me']が悪いんだから、ねっ？","balloon#1ab27a7de2c69d25c38934a632a8aa0b","NPC"
"balloon#45391426d9e65099afe9c86447b83c4a","[emb exp='tf.names.itsuki.NPC']は、顔色ひとつ変えていない。","balloon#45391426d9e65099afe9c86447b83c4a","主人公"
"balloon#c248c6591be8b15e3bda55a14984e325","この結末は、本当に正しかったのだろうか……？","balloon#c248c6591be8b15e3bda55a14984e325","主人公"
"message10#5c2cb12183d9abeef11ea188b0adcc3c","樹たちは、[font color=@1]彩葉[resetfont]を犯人として選んだ。
しかし彩葉が犯人だという証拠は、最後まで見つかることがなかった。","message10#5c2cb12183d9abeef11ea188b0adcc3c",""
"message10#2cf732428c689ebbd7288492b891617c","そして樹は、みんなと打ち解けることができないまま
島での残りの日々を過ごした。","message10#2cf732428c689ebbd7288492b891617c",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_陽平","陽平","speaker_陽平",""
"speaker_歌葉","歌葉","speaker_歌葉",""
"speaker_千世","千世","speaker_千世",""
