"source","target","id","developer_comments"
"balloon#5827aa2c971773bff80bc42a603e1b5c","要说有没有在意的事，当然有啊！","balloon#5827aa2c971773bff80bc42a603e1b5c","机翻辅助：

要说有没有在意的事，当然有啊！

如果在意的话，有啊！

我有在意的事！"
"balloon#bb0a1b260591d3122cf1846cd353dbba","就是那个啦，那个。","balloon#bb0a1b260591d3122cf1846cd353dbba","机翻辅助：

就是那个啦，那个。

就是那个，那个。

是那个，那个。"
"balloon#9d7a4e19a6fc3ae14c99f5cfa1e8d7d1","那个是指哪个……？","balloon#9d7a4e19a6fc3ae14c99f5cfa1e8d7d1","机翻辅助：

那个是指哪个……？

那是什么意思……？"
"balloon#703d4643aad058d4a4c520b9cfacfbd2","其实，我本来很犹豫要不要说。不过……","balloon#703d4643aad058d4a4c520b9cfacfbd2","机翻辅助：

其实，我本来很犹豫要不要说。不过……

这个，我在犹豫要不要说。

我还在犹豫要不要说呢。"
"balloon#f96fbf4e5f4322abb1057a3d15b3716a","其实[emb exp='tf.names.NPC.me']看到了……","balloon#f96fbf4e5f4322abb1057a3d15b3716a","机翻辅助：

其实[emb exp='tf.names.NPC.me']看到了……"
"balloon#ef6858c597f6c483870a68df9abf75b3","[font color=@3][emb exp='tf.names.NPC.utaha']从厨房出来的时候[resetfont]，嘴角有沾到东西。[l][font color=@3]大概是14:39[resetfont]左右。","balloon#ef6858c597f6c483870a68df9abf75b3","机翻辅助：

[font color=@3][emb exp='tf.names.NPC.utaha']从厨房出来的时候[resetfont]，嘴角有沾到东西。[l][font color=@3]大概是14:39[resetfont]左右。

从厨房里[font color=@3][emb exp='tf.names.NPC.utaha']在嘴边沾了点什么[resetfont]出来了。[l][font color=@3]14:39[resetfont]金枪鱼。

[emb exp='tf.names.NPC.utaha']从厨房里出来了，嘴里沾着什么东西。[font color=@3]14:39[resetfont]是时候了。[l][font color=@3][resetfont]"
"balloon#1565509c4e7ad5a322054cba2ebc5e00","咦，从厨房出来的[font color=@3][emb exp='tf.names.itsuki.utaha']的嘴角有沾到东西[resetfont]！？","balloon#1565509c4e7ad5a322054cba2ebc5e00","机翻辅助：

咦，从厨房出来的[font color=@3][emb exp='tf.names.itsuki.utaha']的嘴角有沾到东西[resetfont]！？

啊，从厨房出来的[font color=@3][emb exp='tf.names.itsuki.utaha']的嘴边有什么东西[resetfont]！？

啊，从厨房出来的[emb exp='tf.names.itsuki.utaha']的嘴边好像有什么东西[font color=@3]！？[resetfont]"
"balloon#2714445929da13b5a0025976cdc1c7a4","所以……","balloon#2714445929da13b5a0025976cdc1c7a4","机翻辅助：

所以……

所以啊……"
"balloon#4fc6f0ae395ddc545588df48189e5ed3","[emb exp='tf.names.NPC.me']觉得[font color=@3][emb exp='tf.names.NPC.utaha']很可疑[resetfont]。","balloon#4fc6f0ae395ddc545588df48189e5ed3","机翻辅助：

[emb exp='tf.names.NPC.me']觉得[font color=@3][emb exp='tf.names.NPC.utaha']很可疑[resetfont]。

[emb exp='tf.names.NPC.me']觉得[emb exp='tf.names.NPC.utaha']很可疑。[font color=@3][resetfont]

[emb exp='tf.names.NPC.me']觉得[emb exp='tf.names.NPC.utaha']很奇怪。[font color=@3][resetfont]"
"balloon#2ca41986a336777361026764e6df4491","原来[font color=@3][emb exp='f.npc_nickname']在怀疑[emb exp='tf.names.itsuki.utaha'][resetfont]啊。","balloon#2ca41986a336777361026764e6df4491","机翻辅助：

原来[font color=@3][emb exp='f.npc_nickname']在怀疑[emb exp='tf.names.itsuki.utaha'][resetfont]啊。

[emb exp='f.npc_nickname']怀疑[emb exp='tf.names.itsuki.utaha']吗。[font color=@3][resetfont]

[emb exp='f.npc_nickname']是在怀疑[emb exp='tf.names.itsuki.utaha']吗？[font color=@3][resetfont]"
