"source","target","id","developer_comments"
"[0]/title","海老原と鉄男の関係が怪しい","[0]/title","chara_id: kamishiro"
"[0]/desc","神代は<font color='@1'>海老原には鉄男を殺す動機がある</font>と疑っている。2人の関係を具体的に示す<font color='@1'> @sl_c </font>は何か？","[0]/desc","chara_id: kamishiro"
"[0]/inference_help_text","神代の疑問を解決するためには、<br><font color=@1>鉄男と海老原の間であった貸し借りと、それが行われた理由を示す</font><br>手がかりが必要だ。","[0]/inference_help_text","chara_id: kamishiro"
"[1]/title","海老原が怪しい","[1]/title","chara_id: kamishiro"
"[1]/desc","神代は海老原が<font color='@1'>山小屋で鉄男を殺した犯人</font>だと疑っている。海老原の犯行を裏付ける、または無実を証明する<font color='@1'> @sl_c @sl_a @sl_b </font>は何か？","[1]/desc","chara_id: kamishiro"
"[1]/inference_help_text","神代の疑問を解決するためには、<br><font color=@1>鉄男の事件の犯行時刻、海老原のアリバイ、犯行時刻とアリバイの時間の関係を示す</font><br>手がかりが必要だ。","[1]/inference_help_text","chara_id: kamishiro"
"[2]/title","結城の自作自演だ","[2]/title","chara_id: ebihara"
"[2]/desc","海老原は結城が鉄男を殺し、襲われたフリをして倒れていたと疑っている。<font color='@1'>二つの犯行の両方</font>との関わりを裏付ける、または無実を証明する<font color='@1'> @sl_c @sl_a </font>は何か？","[2]/desc","chara_id: ebihara"
"[2]/inference_help_text","海老原の疑問を解決するためには、<br><font color=@1>鉄男の事件の犯行時刻、結城が誰に襲われたのか、結城のアリバイを示す</font><br>手がかりが必要だ。","[2]/inference_help_text","chara_id: ebihara"
"[3]/title","犯行時刻のアリバイは？","[3]/title","chara_id: ebihara"
"[3]/desc","海老原は鉄男と結城、二つの事件の犯行時刻<font color='@1'>両方で犯行が可能だった人物</font>が犯人だと疑っている。全員の<font color='@1'> @sl_a </font>を整理しよう。","[3]/desc","chara_id: ebihara"
"[3]/inference_help_text","海老原の疑問を解決するためには、<br><font color=@1>犯行が不可能な4人全員のアリバイを示す</font><br>手がかりが必要だ。","[3]/inference_help_text","chara_id: ebihara"
"[4]/title","鉄男はいつ殺された？","[4]/title","chara_id: mashima"
"[4]/desc","真島は<font color='@1'>鉄男が殺された犯行時刻</font>が気になっている。鉄男が殺された時間帯の特定につながる<font color='@1'> @sl_c @sl_b </font>は何か？","[4]/desc","chara_id: mashima"
"[4]/inference_help_text","真島の疑問を解決するためには、<br><font color=@1>鉄男が山小屋にいた可能性のある二つの時間を示す</font><br>手がかりが必要だ。","[4]/inference_help_text","chara_id: mashima"
"[5]/title","結城はなぜ倒れていた？","[5]/title","chara_id: mashima"
"[5]/desc","真島は山小屋で<font color='@1'>結城の身に何があったのか</font>が気になっている。結城に起きた出来事を明らかにする<font color='@1'> @sl_b @sl_c </font>は何か？","[5]/desc","chara_id: mashima"
"[5]/inference_help_text","真島の疑問を解決するためには、<br><font color=@1>結城が何でどのように襲われたか、襲われたあとどうなっていたかを示す</font><br>手がかりが必要だ。","[5]/inference_help_text","chara_id: mashima"
"[6]/title","真島が怪しい","[6]/title","chara_id: yuuki"
"[6]/desc","結城は<font color='@1'>自身を襲った犯人が真島</font>ではないかと疑っている。真島の犯行を裏付ける、または無実を証明する<font color='@1'> @sl_c @sl_a @sl_b </font>は何か？","[6]/desc","chara_id: yuuki"
"[6]/inference_help_text","結城の疑問を解決するためには、<br><font color=@1>結城が襲われた時間、真島のアリバイ、山小屋で襲うのが不可能な理由を示す</font><br>手がかりが必要だ。","[6]/inference_help_text","chara_id: yuuki"
"[7]/title","樹が怪しい","[7]/title","chara_id: yuuki"
"[7]/desc","結城は<font color='@1'>自身を襲った犯人が樹</font>ではないかと疑っている。樹の無実を証明する<font color='@1'> @sl_c @sl_a </font>は何か？","[7]/desc","chara_id: yuuki"
"[7]/inference_help_text","結城の疑問を解決するためには、<br><font color=@1>樹のアリバイ、鉄男の事件の犯行時刻、鉄男と結城二つの事件の関係を示す</font><br>手がかりが必要だ。","[7]/inference_help_text","chara_id: yuuki"
"[8]/title","犯人は神代だ！","[8]/title","chara_id: itsuki"
"[8]/desc","樹は神代が、裏山の山小屋で起きた二つの事件の犯人だと考えている。神代の犯行を裏付ける<font color='@1'> @sl_c </font>は何か？","[8]/desc","chara_id: itsuki"
"[9]/title","犯人は海老原だ！","[9]/title","chara_id: itsuki"
"[9]/desc","樹は海老原が、裏山の山小屋で起きた二つの事件の犯人だと考えている。海老原の犯行を裏付ける<font color='@1'> @sl_c </font>は何か？","[9]/desc","chara_id: itsuki"
"[10]/title","犯人は真島だ！","[10]/title","chara_id: itsuki"
"[10]/desc","樹は真島が、裏山の山小屋で起きた二つの事件の犯人だと考えている。真島の犯行を裏付ける<font color='@1'> @sl_c </font>は何か？","[10]/desc","chara_id: itsuki"
"[11]/title","犯人は結城だ！","[11]/title","chara_id: itsuki"
"[11]/desc","樹は結城が、裏山の山小屋で起きた二つの事件の犯人だと考えている。結城の犯行を裏付ける<font color='@1'> @sl_c </font>は何か？","[11]/desc","chara_id: itsuki"
