"source","target","id","developer_comments"
"balloon#4938a91c5e9530199c14ca481e5006f8","从厨房，[emb exp='tf.names.NPC.utaha']他……","balloon#4938a91c5e9530199c14ca481e5006f8","机翻辅助：

从厨房，[emb exp='tf.names.NPC.utaha']他……

厨房里有[emb exp='tf.names.NPC.utaha']……

厨房里没有[emb exp='tf.names.NPC.utaha']……"
"balloon#e63fc737a250cc738436695b9cb33b05","这样啊。","balloon#e63fc737a250cc738436695b9cb33b05","机翻辅助：

这样啊。

是这样啊。

是啊。"
"balloon#c800c1a151ce671243cdb2519ebcd07d","也就是说，所有人都进出过厨房，对吧？","balloon#c800c1a151ce671243cdb2519ebcd07d","机翻辅助：

也就是说，所有人都进出过厨房，对吧？

也就是说，厨房里所有人都进进出出了，对吧？

也就是说，所有人都在厨房里进进出出，对吧？"
"balloon#f4604ed1b8303ad28e447d5177faac5d","所有人都变得很可疑了呢！","balloon#f4604ed1b8303ad28e447d5177faac5d","机翻辅助：

所有人都变得很可疑了呢！

大家都变得可疑了呢！

大家都变得奇怪了呢！"
"balloon#e21c7673d69d1670446e57993977af6f","……除了[emb exp='tf.names.NPC.me']以外啦。","balloon#e21c7673d69d1670446e57993977af6f","机翻辅助：

……除了[emb exp='tf.names.NPC.me']以外啦。

……啊，除了[emb exp='tf.names.NPC.me']以外。

……除了[emb exp='tf.names.NPC.me']以外。"
"balloon#6489488a3c51b564fd635f80d4f9fab3","就像[emb exp='tf.names.itsuki.NPC']说的，大家都有进出厨房，这点应该没错。","balloon#6489488a3c51b564fd635f80d4f9fab3","机翻辅助：

就像[emb exp='tf.names.itsuki.NPC']说的，大家都有进出厨房，这点应该没错。

正如[emb exp='tf.names.itsuki.NPC']所说，各自进出厨房是没错的吧。

就像[emb exp='tf.names.itsuki.NPC']说的那样，他们确实出入过厨房。"
"balloon#e14c12cf98da7ad7e44c36a0c0b774a3","可是，进出厨房的不只[emb exp='tf.names.NPC.utaha']哦。","balloon#e14c12cf98da7ad7e44c36a0c0b774a3","机翻辅助：

可是，进出厨房的不只[emb exp='tf.names.NPC.utaha']哦。

不过，出入厨房的不只是[emb exp='tf.names.NPC.utaha']。

但是，进出厨房的不仅仅是[emb exp='tf.names.NPC.utaha']。"
"balloon#7bc3f9abaf2cbae646d4bea11ff5857c","[emb exp='tf.names.NPC.me']也去了厨房，[font color=@3]在那里和[emb exp='tf.names.NPC.yohei']擦身而过[resetfont]。[l][chara_mod time=""@f1"" name=""NPC"" face=""think""]我记得[font color=@3]是14:41[resetfont]左右。","balloon#7bc3f9abaf2cbae646d4bea11ff5857c","机翻辅助：

[emb exp='tf.names.NPC.me']也去了厨房，[font color=@3]在那里和[emb exp='tf.names.NPC.yohei']擦身而过[resetfont]。[l][chara_mod time=""@f1"" name=""NPC"" face=""think""]我记得[font color=@3]是14:41[resetfont]左右。

[emb exp='tf.names.NPC.me']也去了厨房，在那里和[emb exp='tf.names.NPC.yohei']也混在一起了。[font color=@3]好像是[resetfont]14:41[l][chara_mod time=""@f1"" name=""NPC"" face=""think""]的时候。[font color=@3][resetfont]

[emb exp='tf.names.NPC.me']也去了厨房，在那里和[emb exp='tf.names.NPC.yohei']也进错了。[font color=@3]确实是14:41[resetfont]左右。[l][chara_mod time=""@f1"" name=""NPC"" face=""think""][font color=@3][resetfont]"
"balloon#88687deb29598ce2dcef914feafe3500","[emb exp='tf.names.itsuki.NPC']也进了厨房，原来[emb exp='tf.names.itsuki.yohei']也在那里啊。","balloon#88687deb29598ce2dcef914feafe3500","机翻辅助：

[emb exp='tf.names.itsuki.NPC']也进了厨房，原来[emb exp='tf.names.itsuki.yohei']也在那里啊。

[emb exp='tf.names.itsuki.NPC']也进厨房了，[emb exp='tf.names.itsuki.yohei']也在那里吗。"
"speaker_主人公","主人公","speaker_主人公",""
