"source","target","id","developer_comments"
"balloon#301950ce18d0e6562ef6d4a1522c6d4e","気になることといえば……","balloon#301950ce18d0e6562ef6d4a1522c6d4e","NPC"
"balloon#a0855a769df5ddf138592203228a004f","犯行につながる動機が出てきた以上、まずそれについて考えるべきだと思っています。","balloon#a0855a769df5ddf138592203228a004f","NPC"
"balloon#71400d8a83214afa72aa3d3b524ff22e","それは[emb exp='tf.names.NPC.tetsuo']にお金を……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]おそらく、返す当てのないような大金を借りていた人物。","balloon#71400d8a83214afa72aa3d3b524ff22e","NPC"
"balloon#0c573e1c6bc8c688a2e566d8f392fc71","そう、[emb exp='tf.names.NPC.ebihara']についてです。","balloon#0c573e1c6bc8c688a2e566d8f392fc71","NPC"
"balloon#99bd598d27da03a6473a3802d3ca2516","大方、[emb exp='tf.names.NPC.tetsuo']に返済を迫られて、こんな場所に呼び出し……","balloon#99bd598d27da03a6473a3802d3ca2516","NPC"
"balloon#dc0e7e56b87056262b3524ed1e22cb9b","人知れず、彼を始末しようとしたんでしょう。","balloon#dc0e7e56b87056262b3524ed1e22cb9b","NPC"
"balloon#ebb8cf8122ca3755f3e84a78b64f2728","山小屋で[font color=@3][emb exp='tf.names.NPC.tetsuo']を殺した犯人は、[emb exp='tf.names.NPC.ebihara'][resetfont]に違いありません。","balloon#ebb8cf8122ca3755f3e84a78b64f2728","NPC"
"balloon#30a398625f416be49e72a7f472c55278","[emb exp='tf.names.NPC.me']は、そう考えていますよ。","balloon#30a398625f416be49e72a7f472c55278","NPC"
"balloon#e214b0bc6423af5015339b15d3b7f00c","[emb exp='tf.names.itsuki.NPC']は、[font color=@3][emb exp='tf.names.itsuki.ebihara']を疑っている[resetfont]のか。","balloon#e214b0bc6423af5015339b15d3b7f00c","主人公"
"balloon#e5c3cd59bcedac18a833dd6cf9f7a3e4","[emb exp='tf.names.NPC.ebihara']について、なにかわかったら教えてもらえませんか？","balloon#e5c3cd59bcedac18a833dd6cf9f7a3e4","NPC"
"balloon#12bfe0b159d076ef5126260888146fc5","わかりました、すぐ[emb exp='tf.names.itsuki.NPC']に報告しますね。","balloon#12bfe0b159d076ef5126260888146fc5","主人公"
"balloon#f6ccb34d18e8fde5c84e522486382a62","今回もほどほどに、期待していますよ。","balloon#f6ccb34d18e8fde5c84e522486382a62","NPC"
"balloon#b7a24b28680fb8b8c6961ec958019448","[emb exp='tf.names.itsuki.kamishiro']は、動機のある[emb exp='tf.names.itsuki.ebihara']を疑っている。","balloon#b7a24b28680fb8b8c6961ec958019448","主人公"
"balloon#7f07dee47f013bc61c6f255cf914c27b","[emb exp='tf.names.itsuki.ebihara']が本当に犯人なのか、動機だけでなく[font color=@3]アリバイ[resetfont]も調べたほうがよさそうだ。","balloon#7f07dee47f013bc61c6f255cf914c27b","主人公"
"speaker_主人公","主人公","speaker_主人公",""
