"source","target","id","developer_comments"
"balloon#4c582b70de3f2a7af6c4e620eeba58bc","台所への出入りは受付から見ようと思えば見えちまうから、嘘は言えねえ。","balloon#4c582b70de3f2a7af6c4e620eeba58bc","NPC"
"balloon#dfdaeef52ad8f1b6ab273716d9199831","[emb exp='tf.names.NPC.makino']が台所にしばらくいたのは、間違いない事実だぜ。","balloon#dfdaeef52ad8f1b6ab273716d9199831","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#07af06c2974a0bcc23eeac7d37055bea","[emb exp='tf.names.itsuki.NPC']は、[emb exp='tf.names.itsuki.makino']の証言がたしかなものだと言っている。","balloon#07af06c2974a0bcc23eeac7d37055bea","主人公"
"balloon#bae9eaec2350abb2bbb2be481d087b06","んでもって、[emb exp='tf.names.NPC.makino']はしばらく受付で[emb exp='tf.names.NPC.me']と話し込んでから写真館を出た。","balloon#bae9eaec2350abb2bbb2be481d087b06","NPC"
"balloon#2e0764b347a1afd407b03ce893491a7a","そういやちょうど、[emb exp='tf.names.NPC.makino']が玄関を出た直後に……","balloon#2e0764b347a1afd407b03ce893491a7a","NPC"
"balloon#84bd63eb7ad3e81730e2018dda2b609f","[font color=@3][emb exp='tf.names.NPC.kusakabe']が入れ違いでうちを訪れた[resetfont]んだ。","balloon#84bd63eb7ad3e81730e2018dda2b609f","NPC"
"balloon#2eee5ecf2359531f98ce05d17969b318","[font color=@3]13:48[resetfont]だぜ。","balloon#2eee5ecf2359531f98ce05d17969b318","NPC"
"balloon#8772957206f4e3f492601389faa68797","[emb exp='tf.names.NPC.makino']と[emb exp='tf.names.NPC.kusakabe']、どっちに聞いても同じ答えが返ってくるはずだ。","balloon#8772957206f4e3f492601389faa68797","NPC"
"balloon#a2a0b409c0b6f0aa4c50aaf68ca53ec3","写真館には[font color=@3][emb exp='tf.names.itsuki.makino']が出たあと、[emb exp='tf.names.itsuki.kusakabe']が訪れた[resetfont]のか。","balloon#a2a0b409c0b6f0aa4c50aaf68ca53ec3","主人公"
"speaker_主人公","主人公","speaker_主人公",""
