"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#6084de288775b9dc860c67a6c257c768","なるほどね、その推理なら[font color=@3]納得できる[resetfont]わ！","balloon#6084de288775b9dc860c67a6c257c768","NPC"
"balloon#1e7e5a2544e14818712c1c3196d1acd4","よし、[emb exp='tf.names.itsuki.me']が推理するのに選んだ[font color=@3]手がかり[resetfont]は、
[font color=@3]十分な説得力[resetfont]があったみたいだ！","balloon#1e7e5a2544e14818712c1c3196d1acd4","主人公"
"balloon#925fb9c8a85820f845b1e59d3fdbe413","[emb exp='tf.names.NPC.chiyo']は勘違いして、自分のスイカと言っただけなのね。","balloon#925fb9c8a85820f845b1e59d3fdbe413","NPC"
"balloon#e2fb23121854a71b5691dd76e8670609","そういうことだね。","balloon#e2fb23121854a71b5691dd76e8670609","主人公"
"balloon#5e3a6593f0edf347cf958ef629274816","うん、すっきりした。","balloon#5e3a6593f0edf347cf958ef629274816","NPC"
"balloon#33765e53ed68c5ef250bde8d59168ce2","[emb exp='tf.names.NPC.itsuki']のおかげだね！","balloon#33765e53ed68c5ef250bde8d59168ce2","NPC"
"balloon#6722107b621ad70be07d174d6cc004ea","本当にそうかしら？","balloon#6722107b621ad70be07d174d6cc004ea","NPC"
"balloon#d3b7b777b27b08e550ab8a617e09351e","[emb exp='tf.names.NPC.me']は[font color=@3]ちょっと違う[resetfont]と思うわ……。","balloon#d3b7b777b27b08e550ab8a617e09351e","NPC"
"balloon#346cb98ff74a440cea0992f8b62f415e","どうやら[emb exp='tf.names.itsuki.me']の推理には、[font color=@3]正しい手がかりが一部足りなかった[resetfont]みたいだ……。","balloon#346cb98ff74a440cea0992f8b62f415e","主人公"
"balloon#718c9f89c7c3117bf1900acce8972a6c","うーん、その話[emb exp='tf.names.NPC.me']は[font color=@3]まったく違う[resetfont]と思うわ……。","balloon#718c9f89c7c3117bf1900acce8972a6c","NPC"
"balloon#e8c8daa3ca1df61491d705b85e2210a6","どうやら[emb exp='tf.names.itsuki.me']の推理は、
[font color=@3]完全に見当違い[resetfont]だったみたいだ……。","balloon#e8c8daa3ca1df61491d705b85e2210a6","主人公"
"balloon#ae009158b6bdc782a0fbedd035ca2f00","[emb exp='f.npc_nickname']の疑問に答えられなくて、ごめん……。","balloon#ae009158b6bdc782a0fbedd035ca2f00","主人公"
"balloon#8778fdf110962973c303f17d439fac05","うーん、どうにも釈然としないわね。","balloon#8778fdf110962973c303f17d439fac05","NPC"
"balloon#a639957be42740df9604809c46fedfbc","この件なんだけど……","balloon#a639957be42740df9604809c46fedfbc","NPC"
"balloon#aa0f5244fe63842dc1b7563d3ad05833","[font color=@3]消えたスイカと[emb exp='tf.names.NPC.chiyo']を結びつける話[resetfont]が、絶対あると思うのよね。","balloon#aa0f5244fe63842dc1b7563d3ad05833","NPC"
"balloon#30f6bcd697488278d6ad4c7f99bb5fc7","[font color=@3][emb exp='tf.names.NPC.chiyo']とスイカの話[resetfont]……か。","balloon#30f6bcd697488278d6ad4c7f99bb5fc7","主人公"
"balloon#2bb2d773aa9311dff327589d79f93156","手がかりを集めて、[font color=@3]もう一度推理[resetfont]しよう。","balloon#2bb2d773aa9311dff327589d79f93156","主人公"
"speaker_主人公","主人公","speaker_主人公",""
