"source","target","id","developer_comments"
"balloon#6b2b9182018980c15b987499202c2633","あら、[emb exp='tf.names.NPC.itsuki']。","balloon#6b2b9182018980c15b987499202c2633","NPC"
"balloon#2c7cb0e8ee48757b954b9945f1f05ae9","はいっ！","balloon#2c7cb0e8ee48757b954b9945f1f05ae9","主人公"
"balloon#7c87092caff8ab2273705973c61aaf25","いいお返事ね。","balloon#7c87092caff8ab2273705973c61aaf25","NPC"
"balloon#8ccd800c397f56ad10fdaf954c620de5","都会から来たのにしっかりしているのね。","balloon#8ccd800c397f56ad10fdaf954c620de5","NPC"
"balloon#50ce7df37c3e1452f18aba9044e3ce17","さすが、[emb exp='tf.names.NPC.kumiko']の自慢の息子だわ。[l]
そして[emb exp='tf.names.NPC.me']にとっても……[l][chara_mod time=""@f1"" name=""NPC"" face=""shy"" position=""right""]自慢の孫ね。","balloon#50ce7df37c3e1452f18aba9044e3ce17","NPC"
"balloon#6d80cee8cf1474449c8010b99bbd2c9d","あ、ありがとうございます！","balloon#6d80cee8cf1474449c8010b99bbd2c9d","主人公"
"balloon#cf4a9893a3e7f6d1bdafd033d62083b0","褒めてもらえた。","balloon#cf4a9893a3e7f6d1bdafd033d62083b0","主人公"
"balloon#223aec67d70f87b98eee842e74813c2a","そんなにしっかりしてるかなぁ？","balloon#223aec67d70f87b98eee842e74813c2a","主人公"
"balloon#50fc5d3d0ae049bf2a760f6dfef2bac9","そんなしっかり者の[emb exp='tf.names.NPC.itsuki']に、ちょっと聞きたいことがあるんだけどね。","balloon#50fc5d3d0ae049bf2a760f6dfef2bac9","NPC"
"balloon#cc2e959543c362fe35593250d93cc38b","な、なんでしょう？","balloon#cc2e959543c362fe35593250d93cc38b","主人公"
"balloon#84afcfe2ca2533727a8aff0aaa17beda","ついていきますっ！","balloon#84afcfe2ca2533727a8aff0aaa17beda","主人公"
"speaker_主人公","主人公","speaker_主人公",""
