"source","target","id","developer_comments"
"[0]/text","ふむ、[emb exp='tf.names.kageyama_p.utaha']がいなくなった時間の間ですか……。","[0]/text","talker: kageyama"
"[1]/text","そういえば、あらためて聞かれると誰と一緒だったかな……。","[1]/text","talker: mashima"
"[2]/text","[emb exp='tf.names.yuuki_p.me']は、たしか彼といたような……。","[2]/text","talker: yuuki"
"[3]/text","皆さん歯切れが悪いですが、[emb exp='tf.names.ryo_p.itsuki']は答えてくれますよね？","[3]/text","talker: ryo"
"[4]/text","え、えっと……","[4]/text","talker: itsuki"
"[6]/text","………………。","[6]/text","talker: mashima"
"[7]/text","…………。","[7]/text","talker: mashima"
"[8]/text","……。","[8]/text","talker: mashima"
"[10]/text","……いや、一緒にはいませんでしたが。","[10]/text","talker: mashima"
"[12]/text","[emb exp='tf.names.ryo_p.itsuki']、話が噛み合ってないよ。[l]
[chara_mod time='@f1' name='亮' face='trouble']まったく、君は……","[12]/text","talker: ryo"
"[15]/text","どうして嘘をつくんですか……？","[15]/text","talker: yuuki"
"[16]/text","まったく、[emb exp='tf.names.kageyama_p.itsuki']は信用ならんな。","[16]/text","talker: kageyama"
"[17]/text","………………。","[17]/text","talker: kageyama"
"[18]/text","…………。","[18]/text","talker: kageyama"
"[19]/text","……。","[19]/text","talker: kageyama"
"[21]/text","そう、その通り！","[21]/text","talker: kageyama"
"[23]/text","そうでしたね、ありがとう。[l]
[chara_mod time='@f1' name='亮' face='normal'][emb exp='tf.names.ryo_p.itsuki']、君は……","[23]/text","talker: ryo"
"[26]/text","そうだったんですね！","[26]/text","talker: yuuki"
"[27]/text","なるほど、その情報に間違いはなさそうですね。","[27]/text","talker: mashima"
"[29]/text","なにを言っとるんだね、[emb exp='tf.names.kageyama_p.itsuki']は。","[29]/text","talker: kageyama"
"[31]/text","[emb exp='tf.names.ryo_p.itsuki']、話が噛み合ってないよ。[l]
[chara_mod time='@f1' name='亮' face='trouble']まったく、君は……","[31]/text","talker: ryo"
"[34]/text","どうして嘘をつくんですか……？","[34]/text","talker: yuuki"
"[35]/text","これは、捜査の撹乱でも狙ったのでしょうか。","[35]/text","talker: mashima"
"[36]/text","………………。","[36]/text","talker: yuuki"
"[37]/text","…………。","[37]/text","talker: yuuki"
"[38]/text","……。","[38]/text","talker: yuuki"
"[40]/text","どうして嘘をつくんですか……？","[40]/text","talker: yuuki"
