"source","target","id","developer_comments"
"balloon#a530f34a861da7b9725d11f1067e1e7c","そうですね。[l][chara_mod time=""@f1"" name=""NPC"" face=""normal""]その時間にアリバイがある[emb exp='tf.names.NPC.mashima']に犯行は不可能でしょう。","balloon#a530f34a861da7b9725d11f1067e1e7c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#149c5659e87a81a1e5d34309f755a977","[emb exp='tf.names.itsuki.NPC']は、犯行時刻にアリバイがある[emb exp='tf.names.itsuki.mashima']をもう疑っていないようだ。","balloon#149c5659e87a81a1e5d34309f755a977","主人公"
"balloon#4155814c349e98ca9389a08d7df9f1e2","つまり彼が写真館へ行った際、マッチで火をつけた……とも考えられますね。","balloon#4155814c349e98ca9389a08d7df9f1e2","NPC"
"balloon#bf79123d53942703fc797aacd1d226df","[emb exp='tf.names.NPC.mashima']の話、他にあればもっと聞かせてください。","balloon#bf79123d53942703fc797aacd1d226df","NPC"
"balloon#9befd2798392869800ede7d0ced6d375","[emb exp='tf.names.itsuki.NPC']が疑っている[emb exp='tf.names.itsuki.mashima']の情報が、役に立ったみたいだ。","balloon#9befd2798392869800ede7d0ced6d375","主人公"
"balloon#029106c6a5d2915d93a20c4b14f06142","なるほど、[font color=@3]12:43[resetfont]に[emb exp='tf.names.NPC.kumiko']と[emb exp='tf.names.NPC.mashima']は一緒にいたんですね。","balloon#029106c6a5d2915d93a20c4b14f06142","NPC"
"balloon#5ffccf5b230c53eef844f8a393516e23","２人の証言が一致しているなら、それは事実でしょう。","balloon#5ffccf5b230c53eef844f8a393516e23","NPC"
"balloon#9bd36a0ba8f2dbdff153b61d9343ae26","しかし、それとぼや騒ぎに何の関係が？","balloon#9bd36a0ba8f2dbdff153b61d9343ae26","NPC"
"balloon#b38c0e934844e763fd6f4f86e2fef686","[emb exp='tf.names.NPC.kumiko']が火元を発見したのは[font color=@3]12:53[resetfont]のことです。","balloon#b38c0e934844e763fd6f4f86e2fef686","NPC"
"balloon#6f4973331cae6ccd59a6a46c54b549c1","たしかに[emb exp='tf.names.NPC.mashima']と[emb exp='tf.names.NPC.kumiko']が会っていたのは事件の直前の出来事ですね。","balloon#6f4973331cae6ccd59a6a46c54b549c1","NPC"
"balloon#9adc4213b6067a1f84aae2afe1e73958","しかし、それで２人の[font color=@3]アリバイは成立しない[resetfont]でしょう。","balloon#9adc4213b6067a1f84aae2afe1e73958","NPC"
"balloon#82556f2f51a19e1f6cd47876d913bc95","２人の証言は信じてもらえたけど、ぼや騒ぎとは関係ないと思われてしまったな。","balloon#82556f2f51a19e1f6cd47876d913bc95","主人公"
"speaker_主人公","主人公","speaker_主人公",""
