"source","target","id","developer_comments"
"text#4dde8f937618f185c01f6d0e6518a6f5","${character.name}に質問する手がかりは……","text#4dde8f937618f185c01f6d0e6518a6f5",""
"text#49314b1a9a40152f469fa75ed852ffe3","残り ${getCost()}分 → ","text#49314b1a9a40152f469fa75ed852ffe3",""
"text#4395ef2c8c1612e0fd14cbd814836035","${getCost() - cost}分","text#4395ef2c8c1612e0fd14cbd814836035",""
"text#b2c4649c07383d6bd984d17d2f165ad5","${charactor.sysname}の疑問に対する、僕の答えは……","text#b2c4649c07383d6bd984d17d2f165ad5",""
"text#c6989f3f7bfd6481b86aea83c4185338","${charactor.name}の疑問","text#c6989f3f7bfd6481b86aea83c4185338",""
"text#1ad9dc0af2744eaad8a1d87d18bac422","樹の推理","text#1ad9dc0af2744eaad8a1d87d18bac422",""
"text#3d2487ff202a626f0c1128d77ef87bdb","残り ${cost}分 → ","text#3d2487ff202a626f0c1128d77ef87bdb",""
"text#bdbad1005287d0e4fb758e57dc8f9977","${new_cost}分","text#bdbad1005287d0e4fb758e57dc8f9977",""
"text#0a80e88c6f654b8b2dc02a752fdf8e9a","残り","text#0a80e88c6f654b8b2dc02a752fdf8e9a",""
"text#daf783c8cdf97643b4d2b4ec6e5b8f21","分","text#daf783c8cdf97643b4d2b4ec6e5b8f21",""
"text#a22af7de6aa5f273b4694b9b10a4814f","${mist_save.npc}に推理を伝えますか？","text#a22af7de6aa5f273b4694b9b10a4814f",""
"text#4e55c82da35899dad22d2b6cf3cb2b7d","${character.name}に今すぐこの推理を伝えに行きますか？","text#4e55c82da35899dad22d2b6cf3cb2b7d",""
"text#17ea220303087daf374455affb01cf5b","※${character.name}との密談へ移行します。","text#17ea220303087daf374455affb01cf5b",""
"text#f6118280b10685c86bbe4ded92d2fc13","推理の説得力","text#f6118280b10685c86bbe4ded92d2fc13",""
"text#93473b34f80d4e84196d12a5b702bac2","疑問に対する答えを推理しますか？","text#93473b34f80d4e84196d12a5b702bac2",""
"text#0078da09e9174398d3087423e5a131a9","新たな【手がかり】をノートに書き留めた。","text#0078da09e9174398d3087423e5a131a9",""
"text#2e6dca70feb603c2130ecba960fa33b2","${npc_name}の【手がかり】をノートに書き留めた。","text#2e6dca70feb603c2130ecba960fa33b2",""
"text#d75d7460577f4e5376cb024db2aee6ed","${npc_name}の【疑問】をノートに書き留めた。","text#d75d7460577f4e5376cb024db2aee6ed",""
"text#14c8006271ebf5aac78f16505f42bd65","新たな【疑問】をノートに書き留めた。","text#14c8006271ebf5aac78f16505f42bd65",""
"text#a4f60e12bdb80e1867ae2c88b6f5bf54","※「推理ノート」内の【 マップ 】から確認できます。","text#a4f60e12bdb80e1867ae2c88b6f5bf54",""
"text#52dc5fbd23929d5eab0942882d4aefa2","${chara_name}にこの手がかりについて質問しますか？","text#52dc5fbd23929d5eab0942882d4aefa2",""
"text#767d409996a79c10d34037e50fc8ca58","※疑いが向くような質問は、信用度を減らす可能性があります。","text#767d409996a79c10d34037e50fc8ca58",""
"text#4c40da19b1e762d2aa16609c451ea31d","分 ","text#4c40da19b1e762d2aa16609c451ea31d",""
"text#e0161069ae4aec840f27dac0fe7aa3e7","このチャプターからゲームを開始しますか？","text#e0161069ae4aec840f27dac0fe7aa3e7",""
"text#2e4747dd7447c4d980dfc45cfc0d011c","※オートセーブデータは上書きされます。","text#2e4747dd7447c4d980dfc45cfc0d011c",""
"text#575f45db83e0f75135de5e2589ccbca3","- はい","text#575f45db83e0f75135de5e2589ccbca3",""
"text#2511191259c4c14a55e3417e9cb80583","- いいえ","text#2511191259c4c14a55e3417e9cb80583",""
"text#e24c97149b52ef13078e3204061f641a","- 決定","text#e24c97149b52ef13078e3204061f641a",""
"text#5b0b3067cba3a3c7abeca764f43847ff","- キャンセル","text#5b0b3067cba3a3c7abeca764f43847ff",""
