"source","target","id","developer_comments"
"balloon#ee3dea668d38d9bdb9ec541460949799","犯人は、[emb exp='tf.names.itsuki.NPC']……君だ。","balloon#ee3dea668d38d9bdb9ec541460949799","主人公"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#696bbf9a1173c6f1fc65bb26f847779a","やっぱり、そうなの？","balloon#696bbf9a1173c6f1fc65bb26f847779a","歌葉"
"balloon#083df882f7ddc9f7b379e2b834f022ff","正直に答えて、[emb exp='tf.names.chiyo.NPC']……。","balloon#083df882f7ddc9f7b379e2b834f022ff","千世"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","ち、違う！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","NPC"
"balloon#782b0a2f429722162c1018b3b5965a06","[emb exp='tf.names.NPC.me']は、[emb exp='tf.names.NPC.me']はただ……。","balloon#782b0a2f429722162c1018b3b5965a06","NPC"
"balloon#9b0f4afea08264433aa83fb7db168cf1","……もうっ、男らしくないんだから！","balloon#9b0f4afea08264433aa83fb7db168cf1","彩葉"
"balloon#e5386de11ae337f2cc0edae2ff4e4394","な、なんだよ……！","balloon#e5386de11ae337f2cc0edae2ff4e4394","NPC"
"balloon#9ff18d6a8d68daa0b8bd95584ba0d03c","[emb exp='tf.names.iroha.NPC']が考えることなんて、すぐわかるのよ。","balloon#9ff18d6a8d68daa0b8bd95584ba0d03c","彩葉"
"balloon#a44851084d6da334198c5fc6062b0456","……どうせ、あそこにあるんでしょう？","balloon#a44851084d6da334198c5fc6062b0456","彩葉"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_歌葉","歌葉","speaker_歌葉",""
"speaker_千世","千世","speaker_千世",""
"speaker_彩葉","彩葉","speaker_彩葉",""
