"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#015a85f12d5d65a193fd42bb61b702aa","なるほどな、その推理なら[font color=@3]納得できる[resetfont]ぜ！","balloon#015a85f12d5d65a193fd42bb61b702aa","NPC"
"balloon#1e7e5a2544e14818712c1c3196d1acd4","よし、[emb exp='tf.names.itsuki.me']が推理するのに選んだ[font color=@3]手がかり[resetfont]は、
[font color=@3]十分な説得力[resetfont]があったみたいだ！","balloon#1e7e5a2544e14818712c1c3196d1acd4","主人公"
"balloon#f73c875e9bf0e5c3c02db52dc742c29d","ほっぺに種なんてつけてた時点で、怪しいとは思ってたけど……。","balloon#f73c875e9bf0e5c3c02db52dc742c29d","NPC"
"balloon#538ac6803d0f2a383c07ac2b8aedf517","かじられたスイカまで出てきたのなら、[font color=@3]犯人は[emb exp='tf.names.NPC.utaha'][resetfont]で間違いなさそうだなっ！","balloon#538ac6803d0f2a383c07ac2b8aedf517","NPC"
"balloon#782f6eb403e7dee63429b3953119bc8e","[emb exp='tf.names.itsuki.utaha']がスイカに関わっているのは、間違いないと思う。","balloon#782f6eb403e7dee63429b3953119bc8e","主人公"
"balloon#763164e92c041bdf3a005feb7a4d364c","協力してくれてありがとうな、[emb exp='tf.names.NPC.itsuki']！","balloon#763164e92c041bdf3a005feb7a4d364c","NPC"
"balloon#81e87587e27d541c0297678ccbdd7a8a","それ、本当か？","balloon#81e87587e27d541c0297678ccbdd7a8a","NPC"
"balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","[emb exp='tf.names.NPC.me']は[font color=@3]ちょっと違う[resetfont]と思うな……。","balloon#6d77d886a6d9fa4759e5e2dc64fc7a5e","NPC"
"balloon#346cb98ff74a440cea0992f8b62f415e","どうやら[emb exp='tf.names.itsuki.me']の推理には、[font color=@3]正しい手がかりが一部足りなかった[resetfont]みたいだ……。","balloon#346cb98ff74a440cea0992f8b62f415e","主人公"
"balloon#cb4c96fa37d4cdb5278c32c29b1ae16e","うーん、その話は[emb exp='tf.names.NPC.me']は[font color=@3]まったく違う[resetfont]と思うけどな……。","balloon#cb4c96fa37d4cdb5278c32c29b1ae16e","NPC"
"balloon#2b358ac4f02ee5b4c15e70a41fe9b60a","どうやら[emb exp='tf.names.itsuki.me']の推理は、
[font color=@3]完全に見当違い[resetfont]だったみたいだ……。","balloon#2b358ac4f02ee5b4c15e70a41fe9b60a","主人公"
"balloon#ae009158b6bdc782a0fbedd035ca2f00","[emb exp='f.npc_nickname']の疑問に答えられなくて、ごめん……。","balloon#ae009158b6bdc782a0fbedd035ca2f00","主人公"
"balloon#104bd88436c754586ba6ff86d9920f7f","いや、そんなに落ち込むなって。","balloon#104bd88436c754586ba6ff86d9920f7f","NPC"
"balloon#a639957be42740df9604809c46fedfbc","この件なんだけど……","balloon#a639957be42740df9604809c46fedfbc","NPC"
"balloon#c441aea7711368c942f3cf95df5c0816","[font color=@3]スイカが食べられた証拠[resetfont]が、鍵を握っている気がするぜ。","balloon#c441aea7711368c942f3cf95df5c0816","NPC"
"balloon#b2cbe0fd0ab2cf3b8a5625c173ae16fa","[font color=@3]スイカが食べられた証拠[resetfont]か。","balloon#b2cbe0fd0ab2cf3b8a5625c173ae16fa","主人公"
"balloon#2bb2d773aa9311dff327589d79f93156","手がかりを集めて、[font color=@3]もう一度推理[resetfont]しよう。","balloon#2bb2d773aa9311dff327589d79f93156","主人公"
"speaker_主人公","主人公","speaker_主人公",""
