"source","target","id","developer_comments"
"balloon#db3a5a2f417faa2dfb0abcd95a444c28","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki.chiyo']を……？","balloon#db3a5a2f417faa2dfb0abcd95a444c28","主人公"
"balloon#133b88e511f5150c01e64f62c0a17916","いや、いまはとにかく[emb exp='tf.names.itsuki_p.NPC']が協力者と考えるしかない。","balloon#133b88e511f5150c01e64f62c0a17916","主人公"
"balloon#ffa84746673d00dd07d801ae19e79c2c","どうしてそんなことしたんだ、[emb exp='tf.names.daisuke.NPC']……？","balloon#ffa84746673d00dd07d801ae19e79c2c","大助"
"balloon#cdae826af017e50244d5f3983f3e5eaa","お、[emb exp='tf.names.NPC.me']はやってないって！","balloon#cdae826af017e50244d5f3983f3e5eaa","NPC"
"balloon#370ebf45ebac2576f531ae4c884194d2","まさか[emb exp='tf.names.makino.yohei']が、協力者とは……。","balloon#370ebf45ebac2576f531ae4c884194d2","牧野"
"balloon#50abe3dccad419e5e133e10c7e1dbf3f","本当に違うんだ……。","balloon#50abe3dccad419e5e133e10c7e1dbf3f","NPC"
"balloon#2019d1d35b007917d6f73ed7d4b8bc26","どうしてそんなことを……？","balloon#2019d1d35b007917d6f73ed7d4b8bc26","日下部"
"balloon#3bc6cb89e7568ee33c03e03cb0e87e88","みんな、信じてくれよ……。","balloon#3bc6cb89e7568ee33c03e03cb0e87e88","NPC"
"balloon#329d25178ad7af6d59982ce5393e2567","[emb exp='tf.names.itsuki_p.NPC']、[emb exp='tf.names.itsuki.chiyo']の居場所を教えてくれ！","balloon#329d25178ad7af6d59982ce5393e2567","主人公"
"balloon#d7c2763e717d41bf94055dfffdcb11d3","そんなの、[emb exp='tf.names.NPC.me']が知りてぇよ……。","balloon#d7c2763e717d41bf94055dfffdcb11d3","NPC"
"message10#8e27b179491450a4ccc44c314e0d0c52","千世の協力者として、最も疑われたのは[font color=@1]陽平[resetfont]だった。","message10#8e27b179491450a4ccc44c314e0d0c52",""
"message10#1d836dc23a68cd728ffa1fef6e8ca2c0","しかし陽平は、決して千世の行方を話すことはなかった。[l]
樹たちは協力して、千世の行方を探すことにした。","message10#1d836dc23a68cd728ffa1fef6e8ca2c0",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_大助","大助","speaker_大助",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_日下部","日下部","speaker_日下部",""
