"source","target","id","developer_comments"
"balloon#1b45a2a17e91c03ef6cd2bd4f5373f6d","[emb exp='tf.names.NPC.me']被发现时的情况，就和刚才说的一样。","balloon#1b45a2a17e91c03ef6cd2bd4f5373f6d","机翻辅助：

[emb exp='tf.names.NPC.me']被发现时的情况，就和刚才说的一样。

[emb exp='tf.names.NPC.me']找到的时候说的话和刚才一样。

发现[emb exp='tf.names.NPC.me']的时候，我和刚才说的一样。"
"balloon#f63ac2ccdfe5a3695858573b6b7add8d","发现[emb exp='tf.names.NPC.me']之后，他们两人继续寻找[emb exp='tf.names.NPC.utaha']。","balloon#f63ac2ccdfe5a3695858573b6b7add8d","机翻辅助：

发现[emb exp='tf.names.NPC.me']之后，他们两人继续寻找[emb exp='tf.names.NPC.utaha']。

找到[emb exp='tf.names.NPC.me']之后，两人继续寻找[emb exp='tf.names.NPC.utaha']。

找到[emb exp='tf.names.NPC.me']之后，两个人继续寻找[emb exp='tf.names.NPC.utaha']。"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#ce3e61198bb892413ef507ea1e0afaf8","原来[emb exp='tf.names.itsuki_p.iroha']他们一直在寻找[emb exp='tf.names.itsuki_p.utaha']吗？","balloon#ce3e61198bb892413ef507ea1e0afaf8","机翻辅助：

原来[emb exp='tf.names.itsuki_p.iroha']他们一直在寻找[emb exp='tf.names.itsuki_p.utaha']吗？

原来[emb exp='tf.names.itsuki_p.iroha']他们一直在找[emb exp='tf.names.itsuki_p.utaha']。

[emb exp='tf.names.itsuki_p.iroha']他们一直在寻找[emb exp='tf.names.itsuki_p.utaha']吗？"
"balloon#94a3588884ff29bc25bce4cc5e673e51","[emb exp='tf.names.NPC.me']实在很不擅长捉迷藏……","balloon#94a3588884ff29bc25bce4cc5e673e51","机翻辅助：

[emb exp='tf.names.NPC.me']实在很不擅长捉迷藏……

[emb exp='tf.names.NPC.me']不太会玩捉迷藏……

总觉得[emb exp='tf.names.NPC.me']不擅长捉迷藏……"
"balloon#d51d40fbf8b5905ef7ab2cb444af7537","孩子们一下子就找到了鬼。","balloon#d51d40fbf8b5905ef7ab2cb444af7537","机翻辅助：

孩子们一下子就找到了鬼。

孩子们一眨眼就找到了。

很快就会被孩子们发现。"
"balloon#5cca22827062c5b7952a44b73277affb","在刚才学校钟声响起的[font color=@3]15:00[resetfont]……","balloon#5cca22827062c5b7952a44b73277affb","机翻辅助：

在刚才学校钟声响起的[font color=@3]15:00[resetfont]……

刚才学校的门铃也响了[font color=@3]15:00[resetfont]……

刚才也是，在学校的铃声响起的时候……[font color=@3][resetfont]"
"balloon#24285043688fab22387e695582c6f156","因为被鬼[font color=@3][emb exp='tf.names.NPC.iroha']与帮助他的[emb exp='tf.names.NPC.mashima'][resetfont]发现了。","balloon#24285043688fab22387e695582c6f156","机翻辅助：

因为被鬼[font color=@3][emb exp='tf.names.NPC.iroha']与帮助他的[emb exp='tf.names.NPC.mashima'][resetfont]发现了。

被鬼[font color=@3][emb exp='tf.names.NPC.iroha']和帮助他的[emb exp='tf.names.NPC.mashima'][resetfont]发现了。

被[emb exp='tf.names.NPC.iroha']和帮助它的[emb exp='tf.names.NPC.mashima']发现了。[font color=@3][resetfont]"
"balloon#ba9093e0562ea4f621809cbc9408111f","[font color=@3][emb exp='tf.names.itsuki.NPC']被[emb exp='tf.names.itsuki_p.iroha']和[emb exp='tf.names.itsuki_p.mashima']发现了[resetfont]吗？","balloon#ba9093e0562ea4f621809cbc9408111f","机翻辅助：

[font color=@3][emb exp='tf.names.itsuki.NPC']被[emb exp='tf.names.itsuki_p.iroha']和[emb exp='tf.names.itsuki_p.mashima']发现了[resetfont]吗？

[font color=@3][emb exp='tf.names.itsuki.NPC']是被[emb exp='tf.names.itsuki_p.iroha']和[emb exp='tf.names.itsuki_p.mashima']发现的吗。[resetfont]

[font color=@3][emb exp='tf.names.itsuki.NPC']是被[emb exp='tf.names.itsuki_p.iroha']和[emb exp='tf.names.itsuki_p.mashima']发现的吗？[resetfont]"
"balloon#e347074251822067201da60d293b7544","只要向[emb exp='tf.names.itsuki_p.mashima']确认，就能知道了吧。","balloon#e347074251822067201da60d293b7544","机翻辅助：

只要向[emb exp='tf.names.itsuki_p.mashima']确认，就能知道了吧。

只要向[emb exp='tf.names.itsuki_p.mashima']确认一下就能明白，这是确确实实的事情吧。

只要确认一下[emb exp='tf.names.itsuki_p.mashima']就知道了，这是确实的事情吧。"
"speaker_主人公","主人公","speaker_主人公",""
