"source","target","id","developer_comments"
"[0]/title","最初の記憶","[0]/title","id: ev01"
"[0]/text","使用されないデータ","[0]/text","id: ev01"
"[1]/title","陽平、彩葉、歌葉たちと","[1]/title","id: ev12"
"[1]/text","使用されないデータ","[1]/text","id: ev12"
"[2]/title","消えたスイカ","[2]/title","id: ev49"
"[2]/text","使用されないデータ","[2]/text","id: ev49"
"[3]/title","スイカを食べよう","[3]/title","id: ev13"
"[3]/text","使用されないデータ","[3]/text","id: ev13"
"[4]/title","父さんとの会話","[4]/title","id: ev14"
"[4]/text","使用されないデータ","[4]/text","id: ev14"
"[5]/title","炎の中の過去","[5]/title","id: en001"
"[5]/text","使用されないデータ","[5]/text","id: en001"
"[6]/title","久美子と実の子","[6]/title","id: ev42"
"[6]/text","使用されないデータ","[6]/text","id: ev42"
"[7]/title","写真館のぼや騒ぎ","[7]/title","id: ev50"
"[7]/text","使用されないデータ","[7]/text","id: ev50"
"[8]/title","身元不明の死体","[8]/title","id: ev16b"
"[8]/text","使用されないデータ","[8]/text","id: ev16b"
"[9]/title","オープニング","[9]/title","id: en009"
"[9]/text","使用されないデータ","[9]/text","id: en009"
"[10]/title","式音島の神隠し","[10]/title","id: en002"
"[10]/text","使用されないデータ","[10]/text","id: en002"
"[11]/title","歌葉の神隠し","[11]/title","id: ev51"
"[11]/text","使用されないデータ","[11]/text","id: ev51"
"[12]/title","歌葉との別れ","[12]/title","id: ev40"
"[12]/text","使用されないデータ","[12]/text","id: ev40"
"[13]/title","2人の死体","[13]/title","id: ev41"
"[13]/text","使用されないデータ","[13]/text","id: ev41"
"[14]/title","君を助けに来たんだ","[14]/title","id: ev06"
"[14]/text","使用されないデータ","[14]/text","id: ev06"
"[15]/title","雪に解けぬ死","[15]/title","id: en003"
"[15]/text","使用されないデータ","[15]/text","id: en003"
"[16]/title","襲われた鉄男","[16]/title","id: ev38"
"[16]/text","使用されないデータ","[16]/text","id: ev38"
"[17]/title","襲われた結城","[17]/title","id: ev39"
"[17]/text","使用されないデータ","[17]/text","id: ev39"
"[18]/title","鉄男の神隠し","[18]/title","id: ev52a"
"[18]/text","使用されないデータ","[18]/text","id: ev52a"
"[19]/title","焼け落ちた過去","[19]/title","id: ev44"
"[19]/text","使用されないデータ","[19]/text","id: ev44"
"[20]/title","地下室の悪夢","[20]/title","id: ev45"
"[20]/text","使用されないデータ","[20]/text","id: ev45"
"[21]/title","俺はお前だ","[21]/title","id: ev07"
"[21]/text","使用されないデータ","[21]/text","id: ev07"
"[22]/title","18年前の僕へ","[22]/title","id: en004"
"[22]/text","使用されないデータ","[22]/text","id: en004"
"[23]/title","思わぬタイムトラベル","[23]/title","id: ev18"
"[23]/text","使用されないデータ","[23]/text","id: ev18"
"[24]/title","脱走","[24]/title","id: ev64"
"[24]/text","使用されないデータ","[24]/text","id: ev64"
"[25]/title","18年前への道標","[25]/title","id: ev37"
"[25]/text","使用されないデータ","[25]/text","id: ev37"
"[26]/title","千世の神隠し","[26]/title","id: ev53"
"[26]/text","使用されないデータ","[26]/text","id: ev53"
"[27]/title","もう一度あの場所へ","[27]/title","id: ev46"
"[27]/text","使用されないデータ","[27]/text","id: ev46"
"[28]/title","牧野の夢","[28]/title","id: ev43"
"[28]/text","使用されないデータ","[28]/text","id: ev43"
"[29]/title","尋問","[29]/title","id: ev15"
"[29]/text","使用されないデータ","[29]/text","id: ev15"
"[30]/title","だってお前は俺なんだから","[30]/title","id: ev08"
"[30]/text","使用されないデータ","[30]/text","id: ev08"
"[31]/title","そして最後に自分の命を奪われた","[31]/title","id: ev09"
"[31]/text","使用されないデータ","[31]/text","id: ev09"
"[32]/title","最初の記憶","[32]/title","id: en005"
"[32]/text","使用されないデータ","[32]/text","id: en005"
"[33]/title","写真館の殺人","[33]/title","id: ev55a"
"[33]/text","使用されないデータ","[33]/text","id: ev55a"
"[34]/title","事切れた彩葉","[34]/title","id: ev47"
"[34]/text","使用されないデータ","[34]/text","id: ev47"
"[35]/title","18年前の俺へ","[35]/title","id: ev48"
"[35]/text","使用されないデータ","[35]/text","id: ev48"
"[36]/title","久美子の写真","[36]/title","id: ev24"
"[36]/text","使用されないデータ","[36]/text","id: ev24"
"[37]/title","最初の記憶の真実","[37]/title","id: ev25"
"[37]/text","使用されないデータ","[37]/text","id: ev25"
"[38]/title","このひと夏の十五年","[38]/title","id: en006"
"[38]/text","使用されないデータ","[38]/text","id: en006"
"[39]/title","写真館の後継ぎ","[39]/title","id: ev56"
