"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#b0ab8e422fb228031c5db63600c42523","嗯，这个推理[font color=@3]可以接受[resetfont]。","balloon#b0ab8e422fb228031c5db63600c42523","机翻辅助：

嗯，这个推理[font color=@3]可以接受[resetfont]。

嗯，如果是那个推理[font color=@3]能理解[resetfont]。

嗯，这个推理的话能接受。[font color=@3][resetfont]"
"balloon#8f2a3312b451b9a7279fd785051e3da8","[emb exp='tf.names.NPC.chiyo']喝下掺了安眠药的饮料，睡着之后……","balloon#8f2a3312b451b9a7279fd785051e3da8","机翻辅助：

[emb exp='tf.names.NPC.chiyo']喝下掺了安眠药的饮料，睡着之后……

[emb exp='tf.names.NPC.chiyo']喝下含有安眠药的饮料，睡着之后……

[emb exp='tf.names.NPC.chiyo']喝着装有安眠药的饮料，睡着之后……"
"balloon#fe2fbdebfd04c74c439038e0d1371de5","在没有意识的状态下，被菜刀刺中要害……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]是这样吗？","balloon#fe2fbdebfd04c74c439038e0d1371de5","机翻辅助：

在没有意识的状态下，被菜刀刺中要害……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]是这样吗？

在失去意识的状态下，被人用菜刀捅了一刀……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]原来如此。

在没有意识的情况下，被菜刀戳了一下。[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]"
"balloon#db7c9ab0a88afaafbed4f12e67846086","难怪没有抵抗的痕迹。","balloon#db7c9ab0a88afaafbed4f12e67846086","机翻辅助：

难怪没有抵抗的痕迹。

难怪看不出抵抗的痕迹。

难怪看不到抵抗的痕迹。"
"balloon#49774b868a6ec33d862f1735f08833dc","是的，我也这么认为。","balloon#49774b868a6ec33d862f1735f08833dc","机翻辅助：

是的，我也这么认为。

是的，我是这么想的。"
"balloon#d0353258e6aefd0d60c57de54a885131","然后，这是……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""][emb exp='tf.names.NPC.itsuki']的自白吗？","balloon#d0353258e6aefd0d60c57de54a885131","机翻辅助：

然后，这是……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""][emb exp='tf.names.NPC.itsuki']的自白吗？

而且，这是……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""][emb exp='tf.names.NPC.itsuki']的自供吗？

然后，这……[l][chara_mod time=""@f1"" name=""NPC"" face=""what""]是[emb exp='tf.names.NPC.itsuki']的自白吗？"
"balloon#13aad916e55011ba34e31d0bbc04402d","不对，我是靠推理得到的！","balloon#13aad916e55011ba34e31d0bbc04402d","机翻辅助：

不对，我是靠推理得到的！

不是的，是通过推理得出的！

不是的，是推理到的！"
"balloon#4e8ce1ab3d4b833d755d8aacb228548f","……哎呀，失敬。","balloon#4e8ce1ab3d4b833d755d8aacb228548f","机翻辅助：

……哎呀，失敬。

……不，对不起。

……哎呀，失礼了。"
"balloon#a74c83a533be85ea1f0af093cdbe2c05","难得你回答了[emb exp='tf.names.NPC.me']的疑问，把你当成犯人就太失礼了。","balloon#a74c83a533be85ea1f0af093cdbe2c05","机翻辅助：

难得他回答了[emb exp='tf.names.NPC.me']的疑问，把他当成犯人就太失礼了。

好不容易回答了[emb exp='tf.names.NPC.me']的疑问，却被当做犯人对待，真是失礼啊。

好不容易回答了[emb exp='tf.names.NPC.me']的疑问，把我当成犯人真是太失礼了。"
