"source","target","id","developer_comments"
"balloon#7d89e7ec4cf1f367620ba59dd60ba6ca","这起事件的犯人，就是你吧……","balloon#7d89e7ec4cf1f367620ba59dd60ba6ca","机翻辅助：

这起事件的犯人，就是你吧……

这个事件的犯人，就是你啊……

这个案子的凶手，就是你吧……"
"balloon#cd1d11236e85573f785806ba05b8b33f","[emb exp='tf.names.itsuki.NPC']！","balloon#cd1d11236e85573f785806ba05b8b33f",""
"balloon#5d426906d91522ef20ac89430be73b83","唔……！","balloon#5d426906d91522ef20ac89430be73b83","机翻辅助：

唔……！

啊……！"
"balloon#60c67b105587b08fd66bc775d76e11e1","[emb exp='tf.names.ryo_p.mashima']，请告诉我[emb exp='tf.names.ryo_p.utaha']在哪里！","balloon#60c67b105587b08fd66bc775d76e11e1","机翻辅助：

[emb exp='tf.names.ryo_p.mashima']，请告诉我[emb exp='tf.names.ryo_p.utaha']在哪里！

请告诉我[emb exp='tf.names.ryo_p.mashima']、[emb exp='tf.names.ryo_p.utaha']的所在地！"
"balloon#613602472ab7748a71afcaca5e947ca7","你身为警察竟然……","balloon#613602472ab7748a71afcaca5e947ca7","机翻辅助：

你身为警察竟然……

身为警察的你啊……

警察的你啊……"
"balloon#0c5cd8da0730721472d87d5360c96d03","[emb exp='tf.names.yuuki_p.mashima']……","balloon#0c5cd8da0730721472d87d5360c96d03","机翻辅助：

[emb exp='tf.names.yuuki_p.mashima']……"
"balloon#884c8c88c01f9f266ea5eca53e69dd5d","不、不是啦！","balloon#884c8c88c01f9f266ea5eca53e69dd5d","机翻辅助：

不、不是啦！

不对！

不、不对！"
"balloon#cbd0aeae924ab655262c4684c903931d","[emb exp='tf.names.NPC.me']、[emb exp='tf.names.NPC.me']……","balloon#cbd0aeae924ab655262c4684c903931d","机翻辅助：

[emb exp='tf.names.NPC.me']、[emb exp='tf.names.NPC.me']……"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_亮","亮","speaker_亮",""
"speaker_影山","影山","speaker_影山",""
"speaker_結城","结城","speaker_結城","机翻辅助：

结城"
