"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#f80241d0f8190302346c733f50e5e5b5","哦，如果是这个推理，[font color=@3]我能够接受[resetfont]！","balloon#f80241d0f8190302346c733f50e5e5b5","机翻辅助：

哦，如果是这个推理，[font color=@3]我能够接受[resetfont]！

哦，如果是那个推理[font color=@3]能理解[resetfont]！

哦，这个推理的话[font color=@3]能接受[resetfont]！"
"balloon#da16cd8f36704b3031d411a9561810bf","不在场证明啊，亏你调查得这么清楚……","balloon#da16cd8f36704b3031d411a9561810bf","机翻辅助：

不在场证明啊，亏你调查得这么清楚……

不在场证明啊，好好调查了一下……

我仔细调查过不在场证明……"
"balloon#3d643550ab0a8c5188e2a01612536839","这下……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]失敬了！","balloon#3d643550ab0a8c5188e2a01612536839","机翻辅助：

这下……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]失敬了！

这是……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]失礼了！

这是……失陪了！[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]"
"balloon#44a64f1df1b1d14bae2eb1fcc92da789","很抱歉怀疑你。","balloon#44a64f1df1b1d14bae2eb1fcc92da789","机翻辅助：

很抱歉怀疑你。

很抱歉我怀疑啦。

很抱歉我怀疑你了。"
"balloon#be854dfd4b3ed0376cdffc7f3e3322ad","身为教师，这是不该有的态度。","balloon#be854dfd4b3ed0376cdffc7f3e3322ad","机翻辅助：

身为教师，这是不该有的态度。

作为教师，这是不应有的态度。

这是作为教师不该有的态度。"
"balloon#ad0b0794691cdedd78f0c30ad1bcbe82","不会，你能理解就没问题了！","balloon#ad0b0794691cdedd78f0c30ad1bcbe82","机翻辅助：

不会，你能理解就没问题了！

不，你能理解我就没问题了！

不，如果能理解的话就没问题了！"
"balloon#fc41fb3fae1cb5384c7791bd7b0be9a4","[emb exp='tf.names.NPC.itsuki']还挺聪明的嘛……","balloon#fc41fb3fae1cb5384c7791bd7b0be9a4","机翻辅助：

[emb exp='tf.names.NPC.itsuki']还挺聪明的嘛……

[emb exp='tf.names.NPC.itsuki']，不是很聪明吗……

[emb exp='tf.names.NPC.itsuki']，很聪明啊……"
"balloon#2784f5d8cce053f4ab373e5ad39d46aa","怎么样，要不要来我们学校念书。","balloon#2784f5d8cce053f4ab373e5ad39d46aa","机翻辅助：

怎么样，要不要来我们学校念书。

怎么样，要不要到我们学校学习一下？

怎么样，不在我们学校学习一下吗？"
"balloon#e671e8c6465ceb5facecc19d8b393506","谢、谢谢……[l][chara_mod time=""@f1"" name=""主人公"" face=""smile""]我会考虑。","balloon#e671e8c6465ceb5facecc19d8b393506","机翻辅助：

谢、谢谢……[l][chara_mod time=""@f1"" name=""主人公"" face=""smile""]我会考虑。

啊，谢谢……[l][chara_mod time=""@f1"" name=""主人公"" face=""smile""]我会考虑的。

啊，谢谢你……我会考虑的。[l][chara_mod time=""@f1"" name=""主人公"" face=""smile""]"
"balloon#727314f33af5ccf22ee5eb4aeeab7367","那就好。","balloon#727314f33af5ccf22ee5eb4aeeab7367","机翻辅助：

那就好。"
"balloon#fbb4f5bd7a8b90889491e8f9a93a797e","那么，就再拜托你了。","balloon#fbb4f5bd7a8b90889491e8f9a93a797e","机翻辅助：

那么，就再拜托你了。

那么，让我再依靠你吧。

那么，下次再拜托你吧。"
"balloon#bfb790c96f7db58d0aba1835abe3556d","可以向影山提问了。","balloon#bfb790c96f7db58d0aba1835abe3556d","机翻辅助：

可以向影山提问了。

可以提问影山了。"
