"source","target","id","developer_comments"
"text#666500214cc435912a6309459f46fc5e","日历上的日期是1991年8月7日。","text#666500214cc435912a6309459f46fc5e","机翻辅助：

日历上的日期是1991年8月7日。

日历日期为1991年8月7日。"
"text#70ed91e72eee0d7deeb57e0a9d464bdc","这里是13年前的樱花照相馆。","text#70ed91e72eee0d7deeb57e0a9d464bdc","机翻辅助：

这里是13年前的樱花照相馆。"
"text#1e8052350afeb52158656c3d1fcddf68","我是在做梦吗？[l]
还是说，我因为某种原因而误入了过去？","text#1e8052350afeb52158656c3d1fcddf68","机翻辅助：

我是在做梦吗？[l]
还是说，我因为某种原因而误入了过去？

这是梦吗。[l]
还是说，因为某种原因而误入了过去。

这是在做梦吗？[l]
还是因为什么原因而迷失在过去？"
"text#81369d28d8fa8817580f798c1b423040","那场火灾……[l]我手上还沾着灰，所以应该是真的发生过。","text#81369d28d8fa8817580f798c1b423040","机翻辅助：

那场火灾……[l]我手上还沾着灰，所以应该是真的发生过。

那场火灾……因为手上沾着灰尘，所以应该是真的发生了。[l]

那场火灾……手上沾着煤灰，应该是真的。[l]"
"text#690dbdbbfef7069d9286ff3816164f11","然后，在我被火烧昏之前，我眼前出现的就是那张“岛民的照片”。","text#690dbdbbfef7069d9286ff3816164f11","机翻辅助：

然后，在我被火烧昏之前，我眼前出现的就是那张“岛民的照片”。

然后在火焰中失去知觉之前，出现在眼前的是那张“岛民的照片”。

然后在火焰中失去意识之前，眼前出现的是“岛民的照片”。"
"text#fd406ce395d509aa9dd3f539cb314863","现在的时间和那张照片的拍摄日期一致。","text#fd406ce395d509aa9dd3f539cb314863","机翻辅助：

现在的时间和那张照片的拍摄日期一致。

现在的日期和那张照片拍摄的日期一致。

现在的日期和拍那张照片的日子是一致的。"
"text#48ae4fc2fefe48700658ad63a100082d","是因为那张照片，我才会来到照片拍摄的那一天吗……？","text#48ae4fc2fefe48700658ad63a100082d","机翻辅助：

是因为那张照片，我才会来到照片拍摄的那一天吗……？

以照片为契机，被拍到的那天就来了……？

以照片为契机，在拍照片的那天来了……？"
"text#f2e3ea448a30b7512485686c9f4e4a12","我难以相信自己来到了过去，环顾四周。","text#f2e3ea448a30b7512485686c9f4e4a12","机翻辅助：

我难以相信自己来到了过去，环顾四周。

不敢相信过去来过，环顾四周。

无法相信过去的事情，试着环顾周围。"
"text#525712a4373ec8a3d1a3fe70f475dd33","但是，电视是旧款的，报纸也是1991年的。","text#525712a4373ec8a3d1a3fe70f475dd33","机翻辅助：

但是，电视是旧款的，报纸也是1991年的。

但电视机是旧型号，报纸也是1991年的。

但是电视是旧型的，报纸也是1991年的。"
"text#f1d0f5f8c20c98f651f834614b464ea0","喂，你这个怪人！","text#f1d0f5f8c20c98f651f834614b464ea0","机翻辅助：

喂，你这个怪人！

这边啊，有个奇怪的家伙！

这边，有个奇怪的家伙！"
