"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","从1989年回到过去的树面前，出现的是来自未来的自己。<br>未来的树说要杀了千世，但千世从照相馆消失了。","[0]/memo","机翻辅助：

从1989年回到过去的树面前，出现的是来自未来的自己。<br>未来的树说要杀了千世，但千世从照相馆消失了。

1989年回来的树前出现的是来自未来的自己。<br>虽然说未来的树会杀死千世，但是千世却从照相馆消失了。

出现在从1989年回来的树面前的，是来自未来的自己。未来之树说要杀死千世，但千世却从照相馆消失了。<br>"
"[1]/director","学生","[1]/director",""
"[1]/memo","受到歌叶的话鼓励，树为了救铁男而回到过去。<br>但是树追捕犯人的行动失败，逃回了2004年。","[1]/memo","机翻辅助：

受到歌叶的话鼓励，树为了救铁男而回到过去。<br>但是树追捕犯人的行动失败，逃回了2004年。

被歌叶的话激励的树为了拯救铁男飞向了过去。<br>但是树在追捕犯人的过程中失败，于2004年逃了回来。

被歌叶的话激励的树为了救铁男飞到过去。但是树没能追上犯人，逃回了2004年。<br>"
"[2]/director","学生","[2]/director",""
"[2]/memo","为了拯救年幼时被卷入“式隐岛神隐事件”的歌叶，树再次利用“孩子们的照片”改变过去。","[2]/memo","机翻辅助：

为了拯救年幼时被卷入“式隐岛神隐事件”的歌叶，树再次利用“孩子们的照片”改变过去。

为了拯救年幼被卷入“式音岛神隐”的歌叶，树用“孩子们的照片”再次改变了过去。

为了拯救年幼时被卷入“式音岛神隐”的歌叶，树用“孩子们的照片”再次改变了过去。"
"[3]/director","学生","[3]/director",""
"[3]/memo","使用“岛民的照片”回到过去，防止了1991年的火灾。<br>结果成功拯救了阳平的父亲大助的性命。","[3]/memo","机翻辅助：

使用“岛民的照片”回到过去，防止了1991年的火灾。<br>结果成功拯救了阳平的父亲大助的性命。

用“岛民的照片”飞向过去，将1991年的火灾防患于未然。<br>结果拯救了阳平的父亲大助的生命。

用“岛民的照片”飞回过去，预防了1991年的火灾。结果，阳平的父亲大助保住了性命。<br>"
"[4]/director","继父","[4]/director","机翻辅助：

继父

姑父

叔伯"
"[4]/memo","阳平的父亲，千世的儿子。<br>大助在照相馆的柜台顾店，应该有目击到所有从玄关进出的人。","[4]/memo","机翻辅助：

阳平的父亲，千世的儿子。<br>大助在照相馆的柜台顾店，应该有目击到所有从玄关进出的人。

阳平的父亲，千世的儿子。<br>因为大助在照相馆的接待处看店，所以应该能看到所有人从门口出入。

阳平之父，千世之子。大助在照相馆的前台看店，所以应该看到所有从玄关进出的人。<br>"
"[5]/director","佐仓家 长男","[5]/director","机翻辅助：

佐仓家 长男

佐仓家长子"
"[5]/memo","原本应该在1991年因为火灾而丧命。<br>但是因为树改变了过去，所以活了下来。","[5]/memo","机翻辅助：

原本应该在1991年因为火灾而丧命。<br>但是因为树改变了过去，所以活了下来。

1991年本该在火灾中丧命。<br>但是树木改变了过去，得以生存。

1991年因火灾本该丧命的。<br>但由于树改变了过去，才得以生存下来。"
"[6]/director","干哥哥","[6]/director","机翻辅助：

没有血缘的堂兄弟

叔伯

堂表兄弟"
"[6]/memo","大助的儿子，千世的孙子。<br>阳平当时在照相馆的客厅，所以应该知道有人从后门进出。","[6]/memo","机翻辅助：

大助的儿子，千世的孙子。<br>阳平当时在照相馆的客厅，所以应该知道有人从后门进出。

大助的儿子，千世的孙子。<br>阳平在照相馆的起居室里，如果有人从后面进出应该知道。

大助的儿子，千世的孙子。阳平当时在照相馆的起居室里，如果有人从后面进出，他应该知道。<br>"
"[7]/director","大助的儿子","[7]/director","机翻辅助：

大助的儿子"
"[7]/memo","原本应该在1991年的火灾中失去父亲大助。但是因为树改变了过去，所以现在还能和大助一起生活。","[7]/memo","机翻辅助：

原本应该在1991年的火灾中失去父亲大助。但是因为树改变了过去，所以现在还能和大助一起生活。

在1991年的火灾中，他本该失去父亲的大助。但是由于树改变了过去，现在也能和大助一起生活。

因为1991年的火灾，他本该失去父亲大助。但是因为树改变了过去，所以现在还能和大助一起生活。"
"[8]/director","警察","[8]/director","机翻辅助：

警察"
"[8]/memo","在岛上的派出所工作的警察。<br>今天巡逻时似乎有来过照相馆。<br>以前他说过真岛是他的恩人。","[8]/memo","机翻辅助：

在岛上的派出所工作的警察。<br>今天巡逻时似乎有来过照相馆。<br>以前他说过真岛是他的恩人。

在岛上办事处工作的警察。<br>今天好像是在巡逻的时候去了照相馆。<br>以前真岛曾说过自己是恩人。

在岛上派出所工作的警察。今天好像在巡逻的时候去了照相馆。以前，他说真岛是他的恩人。<br><br>"
"[9]/director","医师","[9]/director","机翻辅助：

医师

医生"
"[9]/memo","在岛上的诊所工作的医生。<br>今天为了帮千世看诊而来到照相馆。<br>告诉我们神代优的事情。","[9]/memo","机翻辅助：

在岛上的诊所工作的医生。<br>今天为了帮千世看诊而来到照相馆。<br>告诉我们神代优的事情。

在岛上的诊所工作的医生。<br>今天好像是为了治疗千世来到了照相馆。<br>他给我们讲了神代优的故事。

在岛上诊所工作的医生。今天好像是为了千世的诊疗而来到了照相馆。让我听了神代优的话。<br><br>"
"[10]/director","照相馆 经营","[10]/director","机翻辅助：

照相馆 经营

照相馆经营

经营照相馆"
"[10]/memo","大助的母亲，阳平的祖母。<br>今天突然失踪。<br>根据未来的树所说，千世应该在照相馆。","[10]/memo","机翻辅助：

大助的母亲，阳平的祖母。<br>今天突然失踪。<br>根据未来的树所说，千世应该在照相馆。

大助的母亲，阳平的祖母。<br>今天突然消失了。<br>根据未来的树，千世应该在照相馆。

大助的母亲，阳平的祖母。今天突然消失了。据未来之树说，千世应该在照相馆。<br><br>"
"[11]/director","照相馆 经营","[11]/director","机翻辅助：

照相馆 经营

照相馆经营

经营照相馆"
"[11]/memo","因为1989年的“神隐”而失去丈夫铁男。<br>1991年因为意外失去女婿亮和孙子陆，身边的人接连离奇死亡。","[11]/memo","机翻辅助：

因为1989年的“神隐”而失去丈夫铁男。<br>1991年因为意外失去女婿亮和孙子陆，身边的人接连离奇死亡。

在1989年的“神隐”中，丈夫铁男去世了。<br>1991年在事故中失去了女婿亮和孙子的陆地，在她的附近不断出现可疑的死亡。

1989年因“神隐”失去了丈夫铁男。1991年因事故失去了女婿亮和孙子小陆，在她的身边接连发生离奇死亡事件。<br>"
