"source","target","id","developer_comments"
"text#1f5bb63944f9a72d99c60b9127de03e3","人生最初の記憶。","text#1f5bb63944f9a72d99c60b9127de03e3",""
"text#ab6fe6a6d5c43f9c213b867187ca76f1","それをあなたは覚えているだろうか。","text#ab6fe6a6d5c43f9c213b867187ca76f1",""
"text#f9d5fb935b33fc8f59e6b6f9d67dd880","2歳以前の記憶は、自分の思い込みで作られた架空のものが多いという。","text#f9d5fb935b33fc8f59e6b6f9d67dd880",""
"text#67d018dd033704a1afe86bbbf16b9b69","家族から聞いたり写真を見て想像したことを、自分の記憶だと勘違いしてしまうそうだ。","text#67d018dd033704a1afe86bbbf16b9b69",""
"text#4ec4fa675a69e478fafaded235f5998f","夜、車の中。[l]
後部座席のチャイルドシートから、2人の人物が争うのを見ていた。","text#4ec4fa675a69e478fafaded235f5998f",""
"text#b7d1439b75201b3af6ed18121904e689","一枚の写真のように、時間から切り離された不思議な記憶。","text#b7d1439b75201b3af6ed18121904e689",""
"text#1f10a8d103c5839237fb93c13b43174d","そこから先のことは覚えていない。[l]
次に思い出せるのは、もう施設で暮らし始めてからのことだった。","text#1f10a8d103c5839237fb93c13b43174d",""
"text#7edb21da1aa05e95183c031d96a67d3f","あの記憶は、ただの妄想なのだろうか。[l]
いつかこの記憶の意味を知ることができる日は、来るのだろうか。","text#7edb21da1aa05e95183c031d96a67d3f",""
"text#e4231d596f2d83ffdd9897e502fc9b92","そんなことを考えながら、船の甲板の上で真夏の空を見上げていた。","text#e4231d596f2d83ffdd9897e502fc9b92",""
"text#50841257bd959c6534836277a596440e","まもなく式音島に到着します。[l]
お忘れ物にご注意ください。","text#50841257bd959c6534836277a596440e","船内アナウンス"
"text#dd32fb147e814e37da8eff3649a06c30","2004年8月。[l]
人口数百人の離島、式音島。","text#dd32fb147e814e37da8eff3649a06c30",""
"text#e288770179a8e6343ec763ce520db6e7","カバンからカメラを取り出し、島にピントを合わせた。","text#e288770179a8e6343ec763ce520db6e7",""
"text#edb299230d5e7f7cad1bf431637da5b4","15歳の夏休み。[l]
この島で、僕は過去と向き合うことになる。","text#edb299230d5e7f7cad1bf431637da5b4",""
