"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#7c8331b049c8ce69474d47ed47861287","………………","balloon#7c8331b049c8ce69474d47ed47861287",""
"balloon#c0629178c3eebd834d58ab183610d95c","…………","balloon#c0629178c3eebd834d58ab183610d95c",""
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……","balloon#9c1a2d238dba9a227727e6958e4f48f5",""
"balloon#7b41a8d7b7a1dfe61a84f02df9c0b41a","这样啊，如果是那个推理的话，[font color=@3]我可以接受[resetfont]哦！","balloon#7b41a8d7b7a1dfe61a84f02df9c0b41a","机翻辅助：

这样啊，如果是那个推理的话，[font color=@3]我可以接受[resetfont]哦！

这样啊，这个推理的话[font color=@3]可以接受[resetfont]哟！

是吗，那个推理[font color=@3]能理解[resetfont]哟！"
"balloon#1e7e5a2544e14818712c1c3196d1acd4","好，[emb exp='tf.names.itsuki.me']推理时选择的[font color=@3]线索[resetfont]，
似乎[font color=@3]有十足的说服力[resetfont]！","balloon#1e7e5a2544e14818712c1c3196d1acd4","机翻辅助：

好，[emb exp='tf.names.itsuki.me']推理时选择的[font color=@3]线索[resetfont]，
[font color=@3]似乎有十足的说服力[resetfont]！

好，[emb exp='tf.names.itsuki.me']选择推理的[font color=@3]线索[resetfont]，好像有充分的说服力
[font color=@3]！[resetfont]

好吧，[emb exp='tf.names.itsuki.me']选择推理的[font color=@3]线索[resetfont]
[font color=@3][resetfont]似乎有足够的说服力！"
"balloon#f194bace4f5954cf082c79da0b8f8e6e","在[emb exp='tf.names.NPC.me']之后，依序是[emb exp='tf.names.NPC.yohei']、[emb exp='tf.names.NPC.iroha']、[emb exp='tf.names.NPC.chiyo']进出厨房……","balloon#f194bace4f5954cf082c79da0b8f8e6e","机翻辅助：

在[emb exp='tf.names.NPC.me']之后，依序是[emb exp='tf.names.NPC.yohei']、[emb exp='tf.names.NPC.iroha']、[emb exp='tf.names.NPC.chiyo']进出厨房……

在[emb exp='tf.names.NPC.me']之后是[emb exp='tf.names.NPC.yohei']、[emb exp='tf.names.NPC.iroha']、[emb exp='tf.names.NPC.chiyo']的顺序进出的……

[emb exp='tf.names.NPC.me']之后按照[emb exp='tf.names.NPC.yohei']、[emb exp='tf.names.NPC.iroha']、[emb exp='tf.names.NPC.chiyo']的顺序出入了……"
"balloon#723a24992279d38fb31363f46e6dd6fe","好像是这样呢。","balloon#723a24992279d38fb31363f46e6dd6fe","机翻辅助：

好像是这样呢。

好像是这样啊。

好像是。"
"balloon#5d4cec7d75d3995ccc7e9b26d41ea498","你有发现什么吗？","balloon#5d4cec7d75d3995ccc7e9b26d41ea498","机翻辅助：

你有发现什么吗？

你注意到什么了吗？

有什么发现吗？"
"balloon#55a4e3f3c125d53c19121ba8b5d30dbc","不只是[emb exp='tf.names.NPC.me']，除了[emb exp='tf.names.NPC.itsuki']以外的所有人都进出过厨房，也就是说……","balloon#55a4e3f3c125d53c19121ba8b5d30dbc","机翻辅助：

不只是[emb exp='tf.names.NPC.me']，除了[emb exp='tf.names.NPC.itsuki']以外的所有人都进出过厨房，也就是说……

不仅仅是[emb exp='tf.names.NPC.me']，[emb exp='tf.names.NPC.itsuki']以外的所有人都出入厨房……

不光是[emb exp='tf.names.NPC.me']，[emb exp='tf.names.NPC.itsuki']以外的所有人都能出入厨房……"
