"source","target","id","developer_comments"
"text#9bf043e658617004788d3dc49813aa80","俺は、お前だ。[l]
18年後の未来から来た、お前自身だよ。","text#9bf043e658617004788d3dc49813aa80","fushinsha"
"text#006d4852442d847ec748de7c7b8a2ff0","この男が……[l]僕だって？","text#006d4852442d847ec748de7c7b8a2ff0",""
"text#197780b4468476827efec449af720dc8","しかし男の持つ“集合写真”が意味することは明らかだ。","text#197780b4468476827efec449af720dc8",""
"text#d814f5c46fadb6f8ccfd20f47b9a32b8","いま思えば、男が現れたのはこの写真を撮った直後のことだった。","text#d814f5c46fadb6f8ccfd20f47b9a32b8",""
"text#130611f3be146663267d5c3cc9e51ad4","つまりこの男は……[l]いや“未来の僕”は","text#130611f3be146663267d5c3cc9e51ad4",""
"text#995516f8e81ebb13935a1a267eae994f","この写真を使って、過去に飛んできた。","text#995516f8e81ebb13935a1a267eae994f","future_itsuki"
"text#9d6602fa2805f6a020581ac9c4066606","まるで僕の思考をなぞるかのように、そう言った。","text#9d6602fa2805f6a020581ac9c4066606",""
"text#c86f16d2da0c4f32c3905d639ba98b12","場所を変えよう、ここじゃ人目につく。","text#c86f16d2da0c4f32c3905d639ba98b12","fushinsha"
"text#0a93b85c0f4077f684b927e101103a7e","未来の僕はそう言うと、裏山の方へ向かって歩き始めた。","text#0a93b85c0f4077f684b927e101103a7e",""
"text#56a6a5d4637844120ad03186d8e6a25b","僕は困惑しつつも、未来の僕の後を追った。","text#56a6a5d4637844120ad03186d8e6a25b",""
"text#8fe458cd873b11b21b4fcd2ad01932e8","そしてたどり着いたのは……[l]歌葉が監禁されていた、あの山小屋だった。","text#8fe458cd873b11b21b4fcd2ad01932e8",""
"text#f1b92a96e856cf66d826a34e66dd277d","ここなら、誰も来ないだろう。","text#f1b92a96e856cf66d826a34e66dd277d","future_itsuki"
"text#4d5a7f676e8abe20700b35f87806fe41","長い話になる……[l][chara_mod name=""future_itsuki"" face=""normal"" time=""100""]座ろうか。","text#4d5a7f676e8abe20700b35f87806fe41","future_itsuki"
"text#ad11294ce8f98a81ffb564724abeae55","そして未来の僕は、話し始めた。[l]
これから僕の身に起きることを。","text#ad11294ce8f98a81ffb564724abeae55",""
"text#29bb584a36c27076ae8eb59b98a9ffc7","何から話そうか……。","text#29bb584a36c27076ae8eb59b98a9ffc7","future_itsuki"
"text#e1cde095c2a4b515e25d244166ae1006","そうだな、まずは今夜お前の……[l][chara_mod name=""future_itsuki"" face=""earnest"" time=""100""]いや、俺の身に起きたことからだ。","text#e1cde095c2a4b515e25d244166ae1006","future_itsuki"
"text#49ce3c59b83acbd4c4d15ddb99a4e6f5","今日の夜、写真館で眠った俺が次に目を覚ましたのは、まったく別の場所だった。","text#49ce3c59b83acbd4c4d15ddb99a4e6f5","future_itsuki"
"text#2977753131f5483609313d9826afbbd6","そこはとても、狭い部屋だった。","text#2977753131f5483609313d9826afbbd6","future_itsuki"
"text#16ed0f7f800d31d1982cf7cf0749edc2","扉は金属製で固く閉ざされており、小窓が一つだけ。","text#16ed0f7f800d31d1982cf7cf0749edc2","future_itsuki"
"text#8866ea843bd27d5add0a6f9fe9a72cc5","そう、気がついたら監禁されていたんだよ。","text#8866ea843bd27d5add0a6f9fe9a72cc5","future_itsuki"
"text#964566e8377ec793a2396c9e357f5f95","監禁……！？","text#964566e8377ec793a2396c9e357f5f95","amazawa_itsuki"
"text#fa4f553c4533b435625061ce5d81a2df","何の予兆もなかったから、手の打ちようがなかった。","text#fa4f553c4533b435625061ce5d81a2df","future_itsuki"
"text#c92cc5fe8bba44c20dc9921d70385162","所持品も全て奪われていて、写真を使うこともできなかったんだ。","text#c92cc5fe8bba44c20dc9921d70385162","future_itsuki"
"text#075c84a99d83b5f9a85ca15d9d495316","でもここにいるってことは、逃げ出せたんだよな？","text#075c84a99d83b5f9a85ca15d9d495316","amazawa_itsuki"
"text#ee7a32c0236bb66f7142ecac3b3aba5b","ああ、そうだよ。","text#ee7a32c0236bb66f7142ecac3b3aba5b","future_itsuki"
"text#23df6460e53a6d339c879798f3275ab7","……ククク。","text#23df6460e53a6d339c879798f3275ab7","future_itsuki"
"text#c32faa87844791810518ef5be81e9004","未来の僕は、不気味に笑い始めた。","text#c32faa87844791810518ef5be81e9004",""
"text#c3990731ec403ca81e86b95fba80a15d","いつ逃げ出せたと思う……？","text#c3990731ec403ca81e86b95fba80a15d","future_itsuki"
"text#2ce8b4296d79dfb6a267c48df6024413","わからない、そんなに大変だったのだろうか。","text#2ce8b4296d79dfb6a267c48df6024413",""
"text#5e91cbb4d89e69824a2ca35cfe3ca002","俺がこの時代に来る、直前だ。","text#5e91cbb4d89e69824a2ca35cfe3ca002","future_itsuki"
"text#164c64214222baad7a2b9f9caa305043","なん……[l]だって。","text#164c64214222baad7a2b9f9caa305043",""
"text#00bef33eab56a82098cd8d70703bc632","それは、[l]つまり","text#00bef33eab56a82098cd8d70703bc632",""
"text#3e32d71646a1c1e7389c558b8b088d83","18年だ……[l][chara_mod name=""future_itsuki"" face=""excited"" time=""100""]18年かかった！","text#3e32d71646a1c1e7389c558b8b088d83","future_itsuki"
"text#3188bbfe9d9895ef70b5f9903b8d9845","信じられるか……？","text#3188bbfe9d9895ef70b5f9903b8d9845","future_itsuki"
"text#8fc19c5fd5f6ece8812d8673ab804a3d","お前は今日から18年間、監禁される運命なんだよ！","text#8fc19c5fd5f6ece8812d8673ab804a3d","future_itsuki"
"text#7493158d4ed00bc498d20e32ecf68475","そして未来の僕は、声をあげて笑い続けた。","text#7493158d4ed00bc498d20e32ecf68475",""
"text#9b084d51fc2d66de0b2b2db82bf3cc83","未来の僕の笑い声は、完全に狂気に染まっていた。[l]
その姿は18年間監禁されたという話を裏付ける、何よりの証拠に思えた。","text#9b084d51fc2d66de0b2b2db82bf3cc83",""
"text#22dde635f878c9e0d0ac1b0a5e108ca3","長い……[l][chara_mod name=""future_itsuki"" face=""void"" time=""100""]本当に長い時間だった。","text#22dde635f878c9e0d0ac1b0a5e108ca3","future_itsuki"
"text#3349e4c41e459ab4b5775142442138c8","どれだけ大声を出しても、暴れても、何の返事もなかった。","text#3349e4c41e459ab4b5775142442138c8","future_itsuki"
"text#5ddba3629945633416594715f9e57149","気が狂うかと思ったよ。","text#5ddba3629945633416594715f9e57149","future_itsuki"
"text#b6bf7e4c1f3791b0eb554c5219c0e8d1","数少ない楽しみはテレビを観ることと……[l]2週間に一度の配給だった。","text#b6bf7e4c1f3791b0eb554c5219c0e8d1","future_itsuki"
"text#5b035419956db192192b88b71b093cc2","配給……？[l]
犯人と会ったのか！？","text#5b035419956db192192b88b71b093cc2","amazawa_itsuki"
"text#998dbdb87c0c93864cf88188065450ce","いや、顔は見れなかったさ。","text#998dbdb87c0c93864cf88188065450ce","future_itsuki"
"text#04761aed04225cecf86eba24b3cbd600","深夜に突然、小窓から睡眠薬と手錠が差し入れられるんだ。","text#04761aed04225cecf86eba24b3cbd600","future_itsuki"
"text#ac87b28be69f4c2eeb5f9748f918176c","そして手をベッドと手錠でつなぎ、薬を飲んで眠りにつくと……","text#ac87b28be69f4c2eeb5f9748f918176c","future_itsuki"
"text#3be7a27cbe0bd6ad42c8042765aa32cb","その間に、2週間分の食料と手錠を外すための鍵が届けられるんだ。","text#3be7a27cbe0bd6ad42c8042765aa32cb","future_itsuki"
"text#fbf5f9a0049a52489fe77925bcfbe1a7","もちろん、配給の隙をついて逃げ出せないか何度も試したよ。","text#fbf5f9a0049a52489fe77925bcfbe1a7","future_itsuki"
"text#3a9796617dcb5f27cf8d8c4ee8866dab","だが、奴は用心深くてな。","text#3a9796617dcb5f27cf8d8c4ee8866dab","future_itsuki"
"text#53037a42df145d053c459dd0802b4d5f","手錠がはめられていることを確認するまでは、決して部屋に入らなかった。","text#53037a42df145d053c459dd0802b4d5f","future_itsuki"
"text#92484f1977e7258693944ea294859911","2週間分の食料で2ヶ月近く粘ってみたこともあった。","text#92484f1977e7258693944ea294859911","future_itsuki"
"text#902a2428571d1da40200d7d164e9907c","あのときは、飢えて死ぬかと思ったな。","text#902a2428571d1da40200d7d164e9907c","future_itsuki"
"text#a3d18d508ef14dd19c6cd16f03020629","結局俺が折れて、手錠をつけたことを必死にアピールして配給を懇願した。","text#a3d18d508ef14dd19c6cd16f03020629","future_itsuki"
"text#c68f0bc81776730ff165ba8a1b536b15","ただ手錠さえつけていれば、奴の様子を窺うチャンスはあったんだ。","text#c68f0bc81776730ff165ba8a1b536b15","future_itsuki"
"text#c0242e6ae67e9c4ab7414636664b72c2","睡眠薬を飲んだフリをして、ずっと起きておいてな。","text#c0242e6ae67e9c4ab7414636664b72c2","future_itsuki"
"text#ea846053c81e4aa11171499f7f0df79e","奴はフルフェイスのヘルメットを被っていて、顔を見ることは叶わなかった。","text#ea846053c81e4aa11171499f7f0df79e","future_itsuki"
"text#022b5fbe21e54e53ef893cee2ad34b19","そして何度か奴の様子を見た後で、声をかけてみたんだ。","text#022b5fbe21e54e53ef893cee2ad34b19","future_itsuki"
"text#1f3ff9a2806dc67e4964ee3aa808e630","奴は大層驚いていたが、手錠がついていることを確認すると
食料の搬入だけ終わらせて、すぐに出て行きやがった。","text#1f3ff9a2806dc67e4964ee3aa808e630","future_itsuki"
"text#f24b2129aa23b140ad6f237083cbd9cf","酷い話だよな……。","text#f24b2129aa23b140ad6f237083cbd9cf","future_itsuki"
"text#9bc1118b3bab88bc60085ed3da1a2ec2","だって俺は『なぜ俺を監禁した』とか『いつまでここに監禁するんだ』とか
大事な話を聞く前の、ささやかな願いさえ叶えてもらえなかったんだ。","text#9bc1118b3bab88bc60085ed3da1a2ec2","future_itsuki"
"text#d69cd4d62782008b44a65432d66cc4d8","俺の願いは、何だったと思う……？","text#d69cd4d62782008b44a65432d66cc4d8","future_itsuki"
"text#a0e5a9e4143a6417374e9621a9891c69","……わからない。","text#a0e5a9e4143a6417374e9621a9891c69","amazawa_itsuki"
"text#6904e171ae1c9f9f7ecc6387f350a5db","誰かと話したい、だ。","text#6904e171ae1c9f9f7ecc6387f350a5db","future_itsuki"
"text#cbefed7185ebb93ab20732b992b7fd45","監禁されて一番辛かったのは、誰とも話せないことだった。","text#cbefed7185ebb93ab20732b992b7fd45","future_itsuki"
"text#987319dedddf2dc84c59bcb76342a3cd","孤独が人の心を蝕むのは、本当に一瞬のことだったよ。","text#987319dedddf2dc84c59bcb76342a3cd","future_itsuki"
"text#a7e9c026b6cfd80e64a16b8d014ef390","奴が来るたびに、何度だって話しかけ続けた。","text#a7e9c026b6cfd80e64a16b8d014ef390","amazawa_itsuki"
"text#82c9f4cef149309b63a5ce06a6f60180","だが声を聞かれるのを恐れたんだろう……[l][chara_mod name=""amazawa_itsuki"" face=""sad"" time=""100""]結局、奴は一度も答えなかった。","text#82c9f4cef149309b63a5ce06a6f60180","amazawa_itsuki"
