"source","target","id","developer_comments"
"[0]/director","学生","[0]/director",""
"[0]/memo","・夏休みに式根島に訪れた。<br>歌葉を助け、みんなでスイカを食べた。","[0]/memo",""
"[1]/director","学生","[1]/director",""
"[1]/memo","・大輔を助けるため未来を変えた。","[1]/memo",""
"[2]/director","学生","[2]/director",""
"[2]/memo","・歌葉を助けるため未来を変えた。","[2]/memo",""
"[3]/director","学生","[3]/director",""
"[3]/memo","・哲男を助けるため未来を変えた。","[3]/memo",""
"[4]/director","養祖母","[4]/director",""
"[4]/memo","樹の養母である佐倉久美子の母。式音島で写真館を営んでいる。千世は消えたスイカは自分の分だと証言している。","[4]/memo",""
"[5]/director","おばあさん","[5]/director",""
"[5]/memo","・千世","[5]/memo",""
"[6]/director","義理の従兄弟","[6]/director",""
"[6]/memo","千世の孫。島の学校に通っている。陽平はスイカは4切れで全員分足りるはずだと証言している。","[6]/memo",""
"[7]/director","義理の再従兄弟","[7]/director",""
"[7]/memo","千世の妹の孫で、歌葉の姉。陽平と同じ島の学校に通っている。彩葉は、今日は樹がいるのでスイカは5切れ必要だと言っていた。","[7]/memo",""
"[8]/director","義理の再従兄弟","[8]/director",""
"[8]/memo","千世の妹の孫で、彩葉の妹。陽平と同じ島の学校に通っている。歌葉は、消えたスイカは自分の分だと証言している。","[8]/memo",""
