"source","target","id","developer_comments"
"balloon#79aa33e6a19552a7980a2019062e569d","本当に[emb exp='tf.names.itsuki_p.NPC']が、[emb exp='tf.names.itsuki_p.utaha']を……？","balloon#79aa33e6a19552a7980a2019062e569d","主人公"
"balloon#1e3a92ba3c64259df443dc9eb16ac6b1","いや、今はとにかく[emb exp='tf.names.itsuki_p.NPC']を犯人と考えるしかない。","balloon#1e3a92ba3c64259df443dc9eb16ac6b1","主人公"
"balloon#28ebf7581862d1f564198b0e5c92a434","[emb exp='tf.names.itsuki_p.mashima']、[emb exp='tf.names.itsuki_p.NPC']を拘束してください！","balloon#28ebf7581862d1f564198b0e5c92a434","主人公"
"balloon#4deadf9137fa9d9fa221827e35702554","[emb exp='tf.names.itsuki_p.NPC']、お願いします。","balloon#4deadf9137fa9d9fa221827e35702554","主人公"
"balloon#28187f32940a368fd1f851b50f78448e","[emb exp='tf.names.itsuki_p.utaha']の居場所を、教えてください……！","balloon#28187f32940a368fd1f851b50f78448e","主人公"
"balloon#098f5030c5efaa289a78619c7e3db83b","わ、[emb exp='tf.names.NPC.me']はなにも知らん！","balloon#098f5030c5efaa289a78619c7e3db83b","NPC"
"balloon#e31fb7a56607e8462a7726962076b9c3","本当に、あなたが犯人なんですか……？","balloon#e31fb7a56607e8462a7726962076b9c3","亮"
"balloon#d49f09cd2afdea3bfaaff98e549512b4","ち、違う……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused"" position=""right""]信じてくれ！","balloon#d49f09cd2afdea3bfaaff98e549512b4","NPC"
"balloon#60cd06e84b4f4f8572b34d6e491bd087","どうして[emb exp='tf.names.yuuki_p.utaha']を連れ去ったんですか……？","balloon#60cd06e84b4f4f8572b34d6e491bd087","結城"
"balloon#4aae5a0c614967e72ec96344db9c2f82","ゆ、[emb exp='tf.names.NPC.yuuki']まで……。","balloon#4aae5a0c614967e72ec96344db9c2f82","NPC"
"balloon#52d54a35208acc75f128ba2f1d37cd99","彼の身柄を押さえておけば、[emb exp='tf.names.mashima_p.utaha']に危害を加えることはできないでしょう。","balloon#52d54a35208acc75f128ba2f1d37cd99","真島"
"balloon#f42d373031794040f9e7f20686e6404a","さぁ、ついて来てもらいましょうか。","balloon#f42d373031794040f9e7f20686e6404a","真島"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#8f36df01f184e383afc1af5da52be3e4","ふん、どこへでも連れて行くといい！","balloon#8f36df01f184e383afc1af5da52be3e4","NPC"
"balloon#711838ccd76d3f30c7c354ad5b4ee194","[emb exp='tf.names.NPC.me']はやっとらんのだ、いくらでも調べてくれ！","balloon#711838ccd76d3f30c7c354ad5b4ee194","NPC"
"balloon#8ee6213091d2743a65b971b037781ebe","これが“式音島の神隠し”なら、どういう結末になるかわかっとるだろう……？","balloon#8ee6213091d2743a65b971b037781ebe","NPC"
"message10#27be23b7e47bcd4aa20eff9fd3fd67f5","最も犯人として疑われた、[font color=@1]影山[resetfont]が拘束された。","message10#27be23b7e47bcd4aa20eff9fd3fd67f5",""
"message10#ef4f262825ccccd5e18b426f3f86c488","歌葉が見つかるまで、影山の拘束が解かれることはなかった。","message10#ef4f262825ccccd5e18b426f3f86c488",""
"speaker_主人公","主人公","speaker_主人公",""
"speaker_亮","亮","speaker_亮",""
"speaker_結城","結城","speaker_結城",""
"speaker_真島","真島","speaker_真島",""
