"source","target","id","developer_comments"
"[0]/title","千世的验尸结果","[0]/title","机翻辅助：

千世的验尸结果"
"[0]/desc","*日下部对千世的验尸结果如下。<font color='@1'>[@sl_c]推定死亡时间为22:30到23:00之间[/@sl_c]</font>。被刺中要害，完全没有抵抗的痕迹。","[0]/desc","机翻辅助：

*日下部对千世的验尸结果如下。<font color='@1'>[@sl_c]推定死亡时间为22:30到23:00之间[/@sl_c]</font>。被刺中要害，完全没有抵抗的痕迹。

*日下部对千世的验尸结果作了如下证词。<font color='@1'>[@sl_c]死亡推定时间是22:30到23:00之间[/@sl_c]</font>。被戳中要害。完全没有反抗的迹象。

*日下部证词了千世的验尸结果如下。<font color='@1'>[@sl_c]死亡推定时间是22:30到23:00之间。在要害处被戳了一下。毫无抵抗的迹象。[/@sl_c]</font>"
"[1]/title","拖行的痕迹","[1]/title","机翻辅助：

拖行的痕迹

像是被拖走的痕迹

被拖走的痕迹"
"[1]/desc","*结城在彩叶遗体的脚边发现了<font color='@1'>[@sl_b]被拖行的痕迹[/@sl_b]</font>。警方也确认过，这个物证是确实的。","[1]/desc","机翻辅助：

*结城在彩叶遗体的脚边发现了<font color='@1'>[@sl_b]被拖行的痕迹[/@sl_b]</font>。警方也确认过，这个物证是确实的。

*结城在彩叶尸体的脚下发现了被拖走的痕迹。警察也确认过的这个物证是确凿的。<font color='@1'>[@sl_b][/@sl_b]</font>

*结城在彩叶遗体的脚边发现了被拖走的痕迹。警方也确认了这个物证。<font color='@1'>[@sl_b][/@sl_b]</font>"
"[2]/title","从千世的茶杯检验出安眠药","[2]/title","机翻辅助：

从千世的茶杯检验出安眠药

从千世的茶杯中检测出的安眠药

从千世的茶杯中检出的安眠药"
"[2]/desc","*牧野表示从千世的茶杯中<font color='@1'>[@sl_b]检验出安眠药[/@sl_b]</font>。警方也确认过，这个物证是确实的。","[2]/desc","机翻辅助：

*牧野表示从千世的茶杯中<font color='@1'>[@sl_b]检验出安眠药[/@sl_b]</font>。警方也确认过，这个物证是确实的。

*牧野作证说，从千世的茶杯中发现了安眠药。警察也确认过的这个物证是确凿的。<font color='@1'>[@sl_b][/@sl_b]</font>

*牧野作证说，在千世喝剩的茶杯里查出了安眠药。警方也确认了这个物证。<font color='@1'>[@sl_b][/@sl_b]</font>"
"[3]/title","从联络船下船的人物","[3]/title","机翻辅助：

从联络船下船的人物

从联络船上下来的人

从联络船上下来的人物"
"[3]/desc","日下部的证词指出，他是从联络船下船的唯一乘客，当时<font color='@1'>[@sl_c]目击到一名帽子戴得很低，身穿褐色西装的人物[/@sl_c]</font>。","[3]/desc","机翻辅助：

日下部的证词指出，他是从联络船下船的唯一乘客，当时<font color='@1'>[@sl_c]目击到一名帽子戴得很低，身穿褐色西装的人物[/@sl_c]</font>。

日下部作证说，他是唯一一名从联络船上下来的乘客，眼睛戴着帽子，看到了身穿茶色西装的人。<font color='@1'>[@sl_c][/@sl_c]</font>

日下部作证说，他目击到从联络船上下来的唯一乘客，一个戴着帽子、身穿褐色西装的人。<font color='@1'>[@sl_c][/@sl_c]</font>"
"[4]/title","从咖喱检验出安眠药","[4]/title","机翻辅助：

从咖喱检验出安眠药

从咖喱中检测出的安眠药

从咖喱中检出的安眠药"
"[4]/desc","*牧野表示从厨房的咖喱<font color='@1'>[@sl_b]检验出安眠药[/@sl_b]</font>。警方也确认过，这个物证是确实的。","[4]/desc","机翻辅助：

*牧野表示从厨房的咖喱<font color='@1'>[@sl_b]检验出安眠药[/@sl_b]</font>。警方也确认过，这个物证是确实的。

*牧野作证说，厨房的咖喱中检测出了安眠药。警察也确认过的这个物证是确凿的。<font color='@1'>[@sl_b][/@sl_b]</font>

*牧野作证说，在厨房的咖喱里检测出了安眠药。警方也确认了这个物证。<font color='@1'>[@sl_b][/@sl_b]</font>"
"[5]/title","树洗过的咖喱碗","[5]/title","机翻辅助：

树洗过的咖喱碗

树洗过的咖喱盘

树洗的咖喱盘"
