"source","target","id","developer_comments"
"balloon#2d630e3ba090794f4caf5e4b0b8af69b","……もう十分だろう、[emb exp='tf.names.jin.itsuki']。","balloon#2d630e3ba090794f4caf5e4b0b8af69b","仁"
"balloon#079a3834daadb992e6930bf356a300f0","……そうね、もう話を聞くことはできたわ。","balloon#079a3834daadb992e6930bf356a300f0","結城"
"balloon#8dacef11b37e4e9bb9315dcde7c385be","散々話をしてきたが……[l][chara_mod time=""@f1"" name=""日下部"" face=""trouble"" position=""right""]結論は変わらないね。","balloon#8dacef11b37e4e9bb9315dcde7c385be","日下部"
"balloon#be02a1c458b88e649c0042bbeb5ad645","終わりだ、終わりぃ！","balloon#be02a1c458b88e649c0042bbeb5ad645","影山"
"balloon#2e01326244055a6acebda598252f44f2","さっさと家に帰らせてくれ！","balloon#2e01326244055a6acebda598252f44f2","影山"
"balloon#337d11332b4365ee6986e28005b5062b","少しでも君のことを信じられないかと思って、ここまで付き合ってきたが……","balloon#337d11332b4365ee6986e28005b5062b","牧野"
"balloon#04bdce05d719c7a7998ce6fe6a2a140a","残念だよ、[emb exp='tf.names.makino.itsuki']。","balloon#04bdce05d719c7a7998ce6fe6a2a140a","牧野"
"balloon#9daacc347ec706d402d9904e3acaece4","そんな……","balloon#9daacc347ec706d402d9904e3acaece4","主人公"
"balloon#8a23c66e906c4f161a23e770d150ad52","真相にたどり着くこともできず、みんなに信用されないまま……","balloon#8a23c66e906c4f161a23e770d150ad52","主人公"
"balloon#e5ddeb483992dada2af146d257f72e48","もう、どうにもならないのか……。","balloon#e5ddeb483992dada2af146d257f72e48","主人公"
"balloon#1467288b23875a19bd5b6d7468871ec2","樹、お前のことを信じてやりたかった。","balloon#1467288b23875a19bd5b6d7468871ec2","仁"
"balloon#cc1ded8d5906354d7466dbc99c07f3ff","……すまない。","balloon#cc1ded8d5906354d7466dbc99c07f3ff","仁"
"balloon#b59671c0f5d7194403f63dd4dd060536","みんなが暗い面持ちで、[emb exp='tf.names.itsuki.me']のことを見つめている。","balloon#b59671c0f5d7194403f63dd4dd060536","主人公"
"balloon#14bacccc88f80e100847edbed9b6afb3","明確に口にすることはないが、誰もが[emb exp='tf.names.itsuki.me']を犯人だと思っているようだ。","balloon#14bacccc88f80e100847edbed9b6afb3","主人公"
"balloon#b77b63176fb3003e42308ee59cd66a75","さあ、本土の警察の元で事情聴取を受けてもらうよ……[l][chara_mod time=""@f1"" name=""牧野"" face=""confused"" position=""right""]ついてきてくれ。","balloon#b77b63176fb3003e42308ee59cd66a75","牧野"
"message10#340a120591328fd52344af571891dbd7","樹は、本土の警察に身柄を引き渡されることになった。","message10#340a120591328fd52344af571891dbd7",""
"speaker_仁","仁","speaker_仁",""
"speaker_結城","結城","speaker_結城",""
"speaker_日下部","日下部","speaker_日下部",""
"speaker_影山","影山","speaker_影山",""
"speaker_牧野","牧野","speaker_牧野",""
"speaker_主人公","主人公","speaker_主人公",""
