"source","target","id","developer_comments"
"balloon#9a9651793c57705c4f22407e7b0b73a4","虽然我至今一直默默地守护着[emb exp='tf.names.NPC.itsuki']……","balloon#9a9651793c57705c4f22407e7b0b73a4","机翻辅助：

虽然我至今一直默默地守护着[emb exp='tf.names.NPC.itsuki']……

一直以来，我都默默地关注着[emb exp='tf.names.NPC.itsuki']……

至今为止，一直默默地守护着[emb exp='tf.names.NPC.itsuki']……"
"balloon#e4b486b772d8a35d3b6603304e77127f","但[emb exp='tf.names.NPC.me']觉得，现在已经是无法逃避的状况了。","balloon#e4b486b772d8a35d3b6603304e77127f","机翻辅助：

但[emb exp='tf.names.NPC.me']觉得，现在已经是无法逃避的状况了。

[emb exp='tf.names.NPC.me']觉得已经到了无法逃避的状况。

[emb exp='tf.names.NPC.me']觉得已经到了无可逃避的地步。"
"balloon#2db630ab960b88566244820fbfd1ced2","如果可以，我希望能相信到最后……","balloon#2db630ab960b88566244820fbfd1ced2","机翻辅助：

如果可以，我希望能相信到最后……

如果可以的话，我想相信到最后……

如果可以的话，我想相信他到最后……"
"balloon#e4407775a49ed79ee5676408b19a18a4","但是，如果我的孩子犯了罪……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]让其补偿也是父母的责任。","balloon#e4407775a49ed79ee5676408b19a18a4","机翻辅助：

但是，如果我的孩子犯了罪……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]让其补偿也是父母的责任。

但是，如果是我的孩子犯了罪的话……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]让孩子补偿也是父母的责任。

然而，如果我的孩子犯了罪……[l][chara_mod time=""@f1"" name=""NPC"" face=""sad""]让他赎罪也是父母的责任。"
"balloon#986e8a941c10be3af63c2952577c5006","[emb exp='tf.names.NPC.itsuki']，你快去自首吧。","balloon#986e8a941c10be3af63c2952577c5006","机翻辅助：

[emb exp='tf.names.NPC.itsuki']，你快去自首吧。

[emb exp='tf.names.NPC.itsuki']，你去自首吧。"
"balloon#698e5e010696f522cb280bfaba0f643c","怎、怎么会……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]不是的，[emb exp='tf.names.itsuki.NPC']！","balloon#698e5e010696f522cb280bfaba0f643c","机翻辅助：

怎、怎么会……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]不是的，[emb exp='tf.names.itsuki.NPC']！

这、怎么会……[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]不对，[emb exp='tf.names.itsuki.NPC']！

不是啦，[emb exp='tf.names.itsuki.NPC']！[l][chara_mod time=""@f1"" name=""主人公"" face=""sad""]"
"balloon#71817b8d5a7ea24c4d782b1875203037","[emb exp='tf.names.itsuki.me']绝对没有做！","balloon#71817b8d5a7ea24c4d782b1875203037","机翻辅助：

[emb exp='tf.names.itsuki.me']绝对没有做！

[emb exp='tf.names.itsuki.me']绝对不会做的！

[emb exp='tf.names.itsuki.me']绝对没做过！"
"balloon#8eb2510d2a700f98db5a93df3bcf9a7d","求求你，相信我！","balloon#8eb2510d2a700f98db5a93df3bcf9a7d","机翻辅助：

求求你，相信我！

求你了，相信我吧！

求求你，相信我吧！"
"balloon#7c8331b049c8ce69474d47ed47861287","………………","balloon#7c8331b049c8ce69474d47ed47861287",""
"balloon#c0629178c3eebd834d58ab183610d95c","…………","balloon#c0629178c3eebd834d58ab183610d95c",""
