"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。","balloon#583f7be9a9169decbdeb5973474da03f","机翻辅助：

我将推理出的答案告诉[emb exp='f.npc_sysname']，回答它[emb exp='f.doubt.title']的疑问。

传达了对[emb exp='f.npc_sysname']的疑问“[emb exp='f.doubt.title']”的回答的推理。"
"balloon#7d4a92ad15ccebc08b18406d65653a52","如果是这个推理的话，[font color=@3]我就能接受了[resetfont]！","balloon#7d4a92ad15ccebc08b18406d65653a52","机翻辅助：

如果是这个推理的话，[font color=@3]我就能接受了[resetfont]！

如果是这个推理的话，[font color=@3]能接受呢[resetfont]！

如果是那个推理，[font color=@3]能理解[resetfont]！"
"balloon#9cff9c0a4dd885cf57723e90a1679f4b","围栏上居然有洞……","balloon#9cff9c0a4dd885cf57723e90a1679f4b","机翻辅助：

围栏上居然有洞……

围栏上竟然有个漏洞……

栅栏上竟然有漏洞……"
"balloon#e568b9b29587049e5f2cf0b7397d0c4f","操场的围栏就在附近，我们实际去寻找看看吧。","balloon#e568b9b29587049e5f2cf0b7397d0c4f","机翻辅助：

操场的围栏就在附近，我们实际去寻找看看吧。

校园围栏就在这附近，我们实际去找找吧。

校园的围栏就在这附近，实际去找找看吧。"
"balloon#38b2b15e6a4291a76825ef4f5e3db6a9","是的！","balloon#38b2b15e6a4291a76825ef4f5e3db6a9","机翻辅助：

是的！"
"balloon#bb950c0ca4d4316b0185b2956a19fe6b","……找到了。","balloon#bb950c0ca4d4316b0185b2956a19fe6b","机翻辅助：

……找到了。

……有了。

……有过。"
"balloon#846f5a2ae0d6b05eadaefede8827615e","……居然有这种地方，有这种洞。","balloon#846f5a2ae0d6b05eadaefede8827615e","机翻辅助：

……居然有这种地方，有这种洞。

……这样的地方竟然有这样的漏洞。

……在这样的地方，竟然有这样的漏洞。"
"balloon#dc5c635b16a5abc378888704ae5bc026","这个洞小到只有小孩子才能钻过去，还被草木给遮住了。","balloon#dc5c635b16a5abc378888704ae5bc026","机翻辅助：

这个洞小到只有小孩子才能钻过去，还被草木给遮住了。

只有小孩子才能通过的洞，被草木遮住了呢。

草木里藏着一个只有小孩子才能通过的洞。"
"balloon#2b7102044d7be9da6050f8c31db00241","大人的话，很难发现这个洞。","balloon#2b7102044d7be9da6050f8c31db00241","机翻辅助：

大人的话，很难发现这个洞。

成年人很难注意到这一点。

这个大人怎么也注意不到。"
"balloon#ce2698d1cafed4b0677e7d43e1ba4a92","然后，这个……","balloon#ce2698d1cafed4b0677e7d43e1ba4a92","机翻辅助：

然后，这个……"
"balloon#2960e86ba25f84620f7f91bd70bb7bed","也就是说，[font color=@3]玩捉迷藏时，[emb exp='tf.names.NPC.utaha']的藏身之处附近有地道[resetfont]。","balloon#2960e86ba25f84620f7f91bd70bb7bed","机翻辅助：

也就是说，[font color=@3]玩捉迷藏时，[emb exp='tf.names.NPC.utaha']的藏身之处附近有地道[resetfont]。

在捉迷藏中[font color=@3][emb exp='tf.names.NPC.utaha']的藏身之处附近有个洞[resetfont]。

在捉迷藏的时候，[emb exp='tf.names.NPC.utaha']藏身的地方附近有个洞。[font color=@3][resetfont]"
