"source","target","id","developer_comments"
"balloon#836ce528d29aec662697a9b01c1e29f5","まずい、このままだと[emb exp='tf.names.itsuki_p.tetsuo']を助けられない！","balloon#836ce528d29aec662697a9b01c1e29f5","主人公"
"balloon#67299b787a50910a515a4070f49288e7","犯人を、なんとしてでも止めないと！","balloon#67299b787a50910a515a4070f49288e7","主人公"
"balloon#e225433f8c98520e12b43af92333f3d2","[emb exp='tf.names.itsuki_p.me']にできることといえば……[l][chara_mod time=""@f1"" name=""主人公"" face=""earnest""]あれしかない。","balloon#e225433f8c98520e12b43af92333f3d2","主人公"
"balloon#f6fca4fff580b07c2050f667fd1f495b","みなさん、待ってください！","balloon#f6fca4fff580b07c2050f667fd1f495b","主人公"
"balloon#142f3861545882e79a94f1a71a34db39","お願いがあります！","balloon#142f3861545882e79a94f1a71a34db39","主人公"
"balloon#64cb24fe6792909a2d5f652c18c960e9","僕たちの手で、犯人と思わしき人物を突き止めませんか？","balloon#64cb24fe6792909a2d5f652c18c960e9","主人公"
"balloon#fc118f39524cfa92aa4aa4d2a0ca4ad4","投票か、面白いじゃねえか！","balloon#fc118f39524cfa92aa4aa4d2a0ca4ad4","海老原"
"balloon#60a6865d0ffc7e90e73e88b0c69dcf09","それにちょうど、[emb exp='tf.names.ebihara_3.me']もよ……","balloon#60a6865d0ffc7e90e73e88b0c69dcf09","海老原"
"balloon#df5fb990fa1b6e77130b884bd345da88","[font color=@3]あいつが犯人[resetfont]だって、はっきりしたとこだぜ！","balloon#df5fb990fa1b6e77130b884bd345da88","海老原"
"balloon#edc4cc3be7840ce0033077dc6bcd72c5","[emb exp='tf.names.yuuki_3.me']も、曖昧なまま終わらせたくありません。","balloon#edc4cc3be7840ce0033077dc6bcd72c5","結城"
"balloon#bcc63e851ead9af393a816199ed95daa","それに……","balloon#bcc63e851ead9af393a816199ed95daa","結城"
"balloon#2a4fb389bfdc3111dfd27cde7a329f55","[font color=@3]犯人はあの人[resetfont]って、もう気づいています。","balloon#2a4fb389bfdc3111dfd27cde7a329f55","結城"
"balloon#eb25aa0dca27839eb657e48ff35d6ccc","ええ、最後まで付き合いましょう。","balloon#eb25aa0dca27839eb657e48ff35d6ccc","真島"
"balloon#dffb8f8da3f6981412a7ac444f8c3f3a","かくいう[emb exp='tf.names.mashima_3.me']も……","balloon#dffb8f8da3f6981412a7ac444f8c3f3a","真島"
"balloon#2aac28a9501ff9cfcaa8d2f876397800","[font color=@3]あの人による犯行[resetfont]と、確信したところです。","balloon#2aac28a9501ff9cfcaa8d2f876397800","真島"
"balloon#192ff8c90a334b15293f50615f157cf3","面白そうな、遊びですね。","balloon#192ff8c90a334b15293f50615f157cf3","神代"
"balloon#f0ec70fdb55d77cae1cb7a4f48ea81a2","いいでしょう……","balloon#f0ec70fdb55d77cae1cb7a4f48ea81a2","神代"
"balloon#b8a4ede651d5a38d2d78e8ea18d12c6c","[font color=@3]あの人が犯人[resetfont]に、違いありませんから。","balloon#b8a4ede651d5a38d2d78e8ea18d12c6c","神代"
"balloon#6b203e81948a73a8011eaa003448fe9a","それぞれ、意見は決まっているようだ。","balloon#6b203e81948a73a8011eaa003448fe9a","主人公"
"balloon#905bc2efdda4afce2300e80df32784c6","よしっ……！","balloon#905bc2efdda4afce2300e80df32784c6","主人公"
"message10#8fab6a4a28879bc2f7a2995e0e17686a","樹たちは、それぞれが思う[font color=@1]【二つの事件の犯人】[resetfont]を
匿名の投票によって申告することにした。","message10#8fab6a4a28879bc2f7a2995e0e17686a",""
"balloon#ae279d519c60dc9d717d282b06a8b8b8","それでは、早速始めましょう。","balloon#ae279d519c60dc9d717d282b06a8b8b8","神代"
"balloon#4415eb15f64d02bcd13f6953a3fb0eb3","最初はもちろん、[emb exp='tf.names.kamishiro_3.itsuki']からですよね？","balloon#4415eb15f64d02bcd13f6953a3fb0eb3","神代"
"balloon#0f2b885c7277125126a61497b62d8898","よし、[emb exp='tf.names.itsuki.me']からいこう。","balloon#0f2b885c7277125126a61497b62d8898","主人公"
"balloon#efaca4daaa6b7d31b3aa90ed256a37ff","[font color=@3]投票は一度きりだ[resetfont]。","balloon#efaca4daaa6b7d31b3aa90ed256a37ff","主人公"
"balloon#9ab546ccbe98bed65621536bce8b1ee6","二つの事件……[emb exp='tf.names.itsuki_p.tetsuo']と[emb exp='tf.names.itsuki_p.yuuki']を襲った犯人は、この人だ！","balloon#9ab546ccbe98bed65621536bce8b1ee6","主人公"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_結城","結城","speaker_結城",""
"speaker_真島","真島","speaker_真島",""
"speaker_神代","神代","speaker_神代",""
