"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#d11127f436042bd2808fa76dce69ccaf","なるほど、その推理なら[font color=@3]納得できる[resetfont]ぜ！","balloon#d11127f436042bd2808fa76dce69ccaf","NPC"
"balloon#0bc490ba292989718223c57be29a50f9","[emb exp='tf.names.NPC.me']は二つの事件について、[emb exp='tf.names.NPC.yuuki']が関係してるんじゃねぇかと疑ってた。","balloon#0bc490ba292989718223c57be29a50f9","NPC"
"balloon#c8fb660541be1e6b43a31298a4b2b2a7","だが、一つ目の鉄男さんが殺された……[l][chara_mod time=""@f1"" name=""NPC"" face=""confused""]いや、殺されそうになった事件。","balloon#c8fb660541be1e6b43a31298a4b2b2a7","NPC"
"balloon#17f439742dad0eaf9331fd75ecad0e83","[emb exp='tf.names.NPC.yuuki']には、写真館で[emb exp='tf.names.NPC.chiyo']と一緒にいたってアリバイがあった。","balloon#17f439742dad0eaf9331fd75ecad0e83","NPC"
"balloon#49b485b7f36d560e189508f832e959b1","そうですね。","balloon#49b485b7f36d560e189508f832e959b1","主人公"
"balloon#3d12242290b86a6969ef634e57d45430","二つ目は、[emb exp='tf.names.NPC.yuuki']自身が襲われた事件。","balloon#3d12242290b86a6969ef634e57d45430","NPC"
"balloon#5bf6ebd3e56ede71cb12746a259e352e","こっちは自作自演を疑っていたが……","balloon#5bf6ebd3e56ede71cb12746a259e352e","NPC"
"balloon#6d7cf412431a811e3897a61d915f3124","[emb exp='tf.names.NPC.yuuki']は誰かに襲われた可能性が高いってことだったな。","balloon#6d7cf412431a811e3897a61d915f3124","NPC"
"balloon#114bd198dc9f3374e5578ecd40aa1461","はい、自分で殴るのは無理がありそうでした。","balloon#114bd198dc9f3374e5578ecd40aa1461","主人公"
"balloon#57368d99361a6c15a30a847cfb4aba61","となると、こいつは自作自演なんかじゃねえし、もっというと……","balloon#57368d99361a6c15a30a847cfb4aba61","NPC"
"balloon#d702ddeea79226f0b8c6cb13a7e90708","[font color=@3][emb exp='tf.names.NPC.yuuki']は二つの事件の犯人じゃねぇ[resetfont]ってことなんだろうよ。","balloon#d702ddeea79226f0b8c6cb13a7e90708","NPC"
"balloon#06c134a0f7a22298659c26d90e3596bc","そう、[font color=@3][emb exp='tf.names.NPC.yuuki']に犯行は不可能[resetfont]だ。","balloon#06c134a0f7a22298659c26d90e3596bc","主人公"
"balloon#c49963b85b992c3e532a2c13f13d6c97","いやぁ、[emb exp='tf.names.NPC.me']の早とちりだったか！","balloon#c49963b85b992c3e532a2c13f13d6c97","NPC"
"balloon#e610f5dc04f6872e07e1b85d06829d1c","危うく[emb exp='tf.names.NPC.yuuki']だと決めつけるとこだった！","balloon#e610f5dc04f6872e07e1b85d06829d1c","NPC"
"balloon#684ca366bdd6e45ab0aae3b8c6f34eda","すまねぇな[emb exp='tf.names.NPC.itsuki']、恩に着るわ。","balloon#684ca366bdd6e45ab0aae3b8c6f34eda","NPC"
"balloon#205e5fb413ccb885ddcc0a9054a3cecd","いえ、[emb exp='tf.names.itsuki.NPC']のお役に立ててよかったです！","balloon#205e5fb413ccb885ddcc0a9054a3cecd","主人公"
"balloon#01d3cc8116c5d52f2a28701c7737e1d8","またなにかあったら、よろしく頼むわ！","balloon#01d3cc8116c5d52f2a28701c7737e1d8","NPC"
"balloon#61cd6c8a424bbe2e9d178250c40f4ee2","それ、本当かぁ？","balloon#61cd6c8a424bbe2e9d178250c40f4ee2","NPC"
"balloon#14e7c5591d347d54596bfbc6a88a9080","その推理は、[font color=@3]ちょっと違う[resetfont]と思うぞ！","balloon#14e7c5591d347d54596bfbc6a88a9080","NPC"
"balloon#3ce6ab9b0e2eef1240a7e9774ef0a415","その推理は、[font color=@3]まったく違う[resetfont]と思うぞ！","balloon#3ce6ab9b0e2eef1240a7e9774ef0a415","NPC"
"balloon#1162df6be30ff696daa2cb8d869996ba","[emb exp='tf.names.itsuki.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1162df6be30ff696daa2cb8d869996ba","主人公"
"balloon#e170c16e2b62b40e2f8f73de898379d8","おう、気にするなって！","balloon#e170c16e2b62b40e2f8f73de898379d8","NPC"
"balloon#7c5713cfddcdfa5c960535cca1cdb824","この件だがよ……","balloon#7c5713cfddcdfa5c960535cca1cdb824","NPC"
"balloon#7b3bdd345cdc0f3eb74840d3f97ceedd","[emb exp='tf.names.NPC.yuuki']が二つの事件にどう関わっているか、[font color=@3]両方はっきりさせる[resetfont]必要があるぜ。","balloon#7b3bdd345cdc0f3eb74840d3f97ceedd","NPC"
"balloon#9a9a6279c5d5c732fff98880d6fcee20","まだ諦めるわけにはいかない。","balloon#9a9a6279c5d5c732fff98880d6fcee20","主人公"
"balloon#60e52998807fcd490fc0d7b72556c7ce","[emb exp='tf.names.NPC.yuuki']自身が襲われた事件と[emb exp='tf.names.NPC.tetsuo']の事件、[font color=@3]両方について[resetfont]調べ直してみよう。","balloon#60e52998807fcd490fc0d7b72556c7ce","主人公"
"speaker_主人公","主人公","speaker_主人公",""
