"source","target","id","developer_comments"
"balloon#e1f0098eff738b80b530433c329cda4c","[emb exp='tf.names.itsuki_p.tetsuo']と[emb exp='tf.names.itsuki_p.yuuki']を襲った犯人は、あなたですね……","balloon#e1f0098eff738b80b530433c329cda4c","主人公"
"balloon#cd1d11236e85573f785806ba05b8b33f","[emb exp='tf.names.itsuki.NPC']！","balloon#cd1d11236e85573f785806ba05b8b33f","主人公"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#0ec29137ddb8ae3d40d4907cb06026c2","あんた、[emb exp='tf.names.ebihara_3.me']のこと散々疑ってきたが……","balloon#0ec29137ddb8ae3d40d4907cb06026c2","海老原"
"balloon#fb3c6223a6ad4468517f26c26613124b","そういうことだったのかよ！","balloon#fb3c6223a6ad4468517f26c26613124b","海老原"
"balloon#7539ffbf5b70501f7e56e65e1c6b9c2c","怪我の治療までしてくださったのに……","balloon#7539ffbf5b70501f7e56e65e1c6b9c2c","結城"
"balloon#7fb8a0eb1cb3c02b77a4eb5fc7c94416","本当なんですか、[emb exp='tf.names.yuuki_3.NPC']？","balloon#7fb8a0eb1cb3c02b77a4eb5fc7c94416","結城"
"balloon#20a21c355491c7fdd164471877e4969d","アリバイがないことも判明している以上、いまは[emb exp='tf.names.mashima_3.NPC']を疑うしかありません。","balloon#20a21c355491c7fdd164471877e4969d","真島"
"balloon#9c34f50affb446fc88ede65141efd694","………何か、言いたいことはありますか？","balloon#9c34f50affb446fc88ede65141efd694","真島"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#b36482327301b23d2f45f6b8d2517a48","ふふっ……。","balloon#b36482327301b23d2f45f6b8d2517a48","NPC"
"speaker_主人公","主人公","speaker_主人公",""
"speaker_海老原","海老原","speaker_海老原",""
"speaker_結城","結城","speaker_結城",""
"speaker_真島","真島","speaker_真島",""
