"source","target","id","developer_comments"
"text#81a95d92cf18d2de56ccde2ea41c263a","……牧野先生，麻烦你准备船。","text#81a95d92cf18d2de56ccde2ea41c263a","机翻辅助：

……牧野先生，麻烦你准备船。

……牧野先生，请安排船。

……牧野先生，请安排一下船。"
"text#cfb0240881bf6c8ea6845726c7038091","不行，我不能照犯人的要求做！","text#cfb0240881bf6c8ea6845726c7038091","机翻辅助：

不行，我不能照犯人的要求做！

不行，不能服从犯人的要求！

不行，不能服从凶手的要求！"
"text#90831f67f7dbda8c810cd2978cb464c8","这样久美子也会被杀！","text#90831f67f7dbda8c810cd2978cb464c8","机翻辅助：

这样久美子也会被杀！

那么，久美子也会被杀的！

那样的话，久美子也会被杀的！"
"text#c09e35bcc5cfd20ab85be9a933a4a2e3","我会准备我的船……[l][chara_mod name=""sakura_daisuke"" face=""anger"" time=""100""]这样久美子就能得救了吧！","text#c09e35bcc5cfd20ab85be9a933a4a2e3","机翻辅助：

我会准备我的船……[l][chara_mod name=""sakura_daisuke"" face=""anger"" time=""100""]这样久美子就能得救了吧！

准备我的船……[l][chara_mod name=""sakura_daisuke"" face=""anger"" time=""100""]那么久美子就得救了啊！？

准备我的船……[l][chara_mod name=""sakura_daisuke"" face=""anger"" time=""100""]所以久美子得救了啊！？"
"text#c7eed618e5126910c1cdbbc56faee7b7","对……[l][chara_mod name=""kamishiro_2004"" face=""grin"" time=""100""]只要你准备船，我保证久美子的安全。","text#c7eed618e5126910c1cdbbc56faee7b7","机翻辅助：

对……[l][chara_mod name=""kamishiro_2004"" face=""grin"" time=""100""]只要你准备船，我保证久美子的安全。

如果能帮我准备船的话，我保证久美子的安全。[l][chara_mod name=""kamishiro_2004"" face=""grin"" time=""100""]

啊……如果能准备好船，就保证久美子的安全。[l][chara_mod name=""kamishiro_2004"" face=""grin"" time=""100""]"
"text#1b1604a0143ee0c2158fe6e4bcc223d0","你一定要遵守约定！","text#1b1604a0143ee0c2158fe6e4bcc223d0","机翻辅助：

你一定要遵守约定！

一定要遵守约定！"
"text#f82124cdd0eca91bfa5e23e9e510d16c","……抱歉，小树，这里交给你了。","text#f82124cdd0eca91bfa5e23e9e510d16c","机翻辅助：

……抱歉，小树，这里交给你了。

……对不起，小树，这里就交给你了。

……对不起小树，这里交给你了。"
"text#fd96eecd55a9fa473e2eec358e051d03","等我，大助先生！","text#fd96eecd55a9fa473e2eec358e051d03","机翻辅助：

等我，大助先生！

请等一下，大助先生！

等等，大助先生！"
"text#b7bc6755cde648a178ee9ed79869172f","时间所剩不多。","text#b7bc6755cde648a178ee9ed79869172f","机翻辅助：

时间所剩不多。

剩下的时间很少。

剩下的时间不多了。"
"text#7e22ddef8a7c28bcaaee7addda5da97a","在大助先生准备好船之前，我要从神代口中问出情报。[l]
为了改变过去，拯救大家，我需要知道什么……？","text#7e22ddef8a7c28bcaaee7addda5da97a","机翻辅助：

在大助先生准备好船之前，我要从神代口中问出情报。[l]
为了改变过去，拯救大家，我需要知道什么……？

在大助先生完成船的准备之前，从神代那里听到信息吧。[l]
改变过去，拯救大家需要做什么呢……？

在大助先生准备好船之前，从神代那里打听到情报吧。[l]
为了改变过去，拯救大家，需要做什么呢……？"
"text#6c6b2829cda5e6d88b0f696cd8fc3263","犯人是神代。[l]
但是，还有不知道的事情……","text#6c6b2829cda5e6d88b0f696cd8fc3263","机翻辅助：

犯人是神代。[l]
但是，还有不知道的事情……

犯人是神代。[l]
但是，还有不明白的事情……

凶手是神代。[l]
但是，我还有不明白的事……"
"SELECT_GLINK/text#19b092fa34063783093ef55d411236e1","- 询问过去的事件。","SELECT_GLINK/text#19b092fa34063783093ef55d411236e1","机翻辅助：

- 询问过去的事件。"
"SELECT_GLINK/text#7d2469e7bd9fdc1ef1ee91afd0969e50","- 询问杀害彩叶的理由。","SELECT_GLINK/text#7d2469e7bd9fdc1ef1ee91afd0969e50","机翻辅助：

- 询问杀害彩叶的理由。

- 询问杀死彩叶的理由。"
"SELECT_GLINK/text#2e59824109fa7c48cdc9c1bee327727c","-询问“神隐之印”的意义。","SELECT_GLINK/text#2e59824109fa7c48cdc9c1bee327727c","机翻辅助：

-询问“神隐之印”的意义。

-询问“神隐之印”的意思。"
"SELECT_GLINK/text#4a9ef8c5632f22a6d47230452c4a1b8f","- 询问照片的去向。","SELECT_GLINK/text#4a9ef8c5632f22a6d47230452c4a1b8f","机翻辅助：

- 询问照片的去向。

- 我问你把照片弄到哪里去了。

- 问照片放哪里了。"
"text#a7cdc4826d9e2c75864c63f0b0948b39","过去的事件吗……[l][chara_mod name=""kamishiro_2004"" face=""doubt"" time=""100""]你知道了又能怎样？","text#a7cdc4826d9e2c75864c63f0b0948b39","机翻辅助：

过去的事件吗……[l][chara_mod name=""kamishiro_2004"" face=""doubt"" time=""100""]你知道了又能怎样？

是过去的事件吗……[l][chara_mod name=""kamishiro_2004"" face=""doubt"" time=""100""]知道了之后打算怎么做？

是过去的事件吗……[l][chara_mod name=""kamishiro_2004"" face=""doubt"" time=""100""]知道了那个你打算怎么办？"
