"source","target","id","developer_comments"
"[0]/text","密談したい相手を選んでください","[0]/text",""
"[1]/text","密談相手に対する行動を選んでください","[1]/text",""
"[2]/text","密談相手に質問したい手がかりを選んでください","[2]/text",""
"[3]/text","答えを推理したい疑問を選んでください","[3]/text",""
"[4]/text","【推理に必要な手がかり】の下にあるスロットを選んでください","[4]/text",""
"[5]/text","推理に使う手がかりを選んでください","[5]/text",""
"[6]/text","決定を選んで推理を完成させてください","[6]/text",""
"[7]/text","推理を伝えたい疑問を選んでください","[7]/text",""
"[8]/text","犯人として票を投じる相手を一人選んでください","[8]/text",""
"[9]/text","疑問を選択すると【推理】を開始します","[9]/text",""
"[10]/text","【推理】や【質問】に使う手がかり一覧です","[10]/text",""
"[11]/text","事件の【時系列】に沿って手がかりを並べた一覧です","[11]/text",""
"[12]/text","事件に関係する人物情報です","[12]/text",""
"[13]/text","これまでの印象的な出来事の思い出です","[13]/text",""
"[14]/text","事件に関係する周辺状況です","[14]/text",""
"[15]/text","※注意※<br>次の推理を行ったあと制限時間がなくなり<br><font color='@1'>調査フェーズは終了</font>となります。","[15]/text",""
"[16]/text","※注意※<br>次の質問を行ったあと制限時間がなくなり<br><font color='@1'>調査フェーズは終了</font>となります。","[16]/text",""
"[17]/text","※注意※<br>次の推理を伝えたあと制限時間がなくなり<br><font color='@1'>調査フェーズは終了</font>となります。","[17]/text",""
"[18]/text","僕が犯人として疑われてしまった。調査や全体議論でもっと<font color='@3'>みんなから信用</font>されないと……。","[18]/text",""
"[19]/text","真犯人にたどり着くことができなかった。
調査で<font color='@3'>事件の真相</font>に迫らないと……。","[19]/text",""
"[20]/text","犯人だと思う人に票が集まらなかった。調査や全体議論でもっと<font color='@3'>信用</font>されないと……。","[20]/text",""
"[21]/text","操作方法や遊び方を確認できます","[21]/text",""
"[22]/text","アルバムにデータがありません。","[22]/text",""
"[23]/text","ゲームを開始したい場面を選択してください","[23]/text",""
