"source","target","id","developer_comments"
"balloon#4d7beae19690aff83666b3a9b65cceed","我想把这个给[emb exp='tf.names.NPC.itsuki']看。","balloon#4d7beae19690aff83666b3a9b65cceed","机翻辅助：

我想把这个给[emb exp='tf.names.NPC.itsuki']看。

我想让[emb exp='tf.names.NPC.itsuki']看看这个。"
"balloon#d6e81e7dcc1d6ca6c457deaa2228afc0","我记得这是……[l][emb exp='tf.names.itsuki.yohei']告诉我的“神隐之印”！","balloon#d6e81e7dcc1d6ca6c457deaa2228afc0","机翻辅助：

我记得这是……[l][emb exp='tf.names.itsuki.yohei']告诉我的“神隐之印”！

这确实是……[l][emb exp='tf.names.itsuki.yohei']告诉我的“神隐之印”！

这应该是……[l][emb exp='tf.names.itsuki.yohei']教你的“神隐之印”！"
"balloon#9c39e72901375d364810440ffb5f24da","看她的表情，难道[emb exp='tf.names.NPC.itsuki']也知道些什么吗？","balloon#9c39e72901375d364810440ffb5f24da","机翻辅助：

看她的表情，难道[emb exp='tf.names.NPC.itsuki']也知道些什么吗？

那个表情，难道[emb exp='tf.names.NPC.itsuki']也知道些什么吗？

那个表情，难道[emb exp='tf.names.NPC.itsuki']也知道什么吗？"
"balloon#e637b2d2466a48445104544e844d6743","没错，这是模仿过去在这座岛上发生的事件中发现的“神隐之印”所画的。","balloon#e637b2d2466a48445104544e844d6743","机翻辅助：

没错，这是模仿过去在这座岛上发生的事件中发现的“神隐之印”所画的。

没错，就是模仿了过去在这座岛上发生的事件中发现的“神隐之印”。

是的，是模仿过去在这个岛上发生的事件中发现的“神隐之印”的。"
"balloon#e050f3a4d66eaf8798989a44b8990806","用画具画在便条纸上，似乎还没干，其实这是……","balloon#e050f3a4d66eaf8798989a44b8990806","机翻辅助：

用画具画在便条纸上，似乎还没干，其实这是……

便条纸上用颜料画着，好像还没干，其实这个……

是用颜料画在便条纸上的，好像还没干，其实是……"
"balloon#a2982c6f1414a96783c9759c2bd73bc7","[font color=@3]13:49[resetfont]，在造访这间照相馆时[font color=@3]在玄关前发现的[resetfont]东西。","balloon#a2982c6f1414a96783c9759c2bd73bc7","机翻辅助：

[font color=@3]13:49[resetfont]，在造访这间照相馆时[font color=@3]在玄关前发现的[resetfont]东西。

[font color=@3]13:49[resetfont]去这个照相馆的时候[font color=@3]在门口发现的[resetfont]东西。

[font color=@3][resetfont]，这是我来这家照相馆时在大门前发现的。[font color=@3][resetfont]"
"balloon#0600baca38e83cd4cd66786b28e5aae4","刚好[emb exp='tf.names.NPC.daisuke']也在一起，去问她看看吧。","balloon#0600baca38e83cd4cd66786b28e5aae4","机翻辅助：

刚好[emb exp='tf.names.NPC.daisuke']也在一起，去问她看看吧。

正好那个时候[emb exp='tf.names.NPC.daisuke']也在一起，你可以问问他。

正好那时[emb exp='tf.names.NPC.daisuke']也在，你也可以问问他。"
"balloon#00343f511c5fb0ccd357f76e4ba77a74","[font color=@3]画在便条纸上的“神隐之印”[resetfont]，居然在玄关前发现……！","balloon#00343f511c5fb0ccd357f76e4ba77a74","机翻辅助：

[font color=@3]画在便条纸上的“神隐之印”[resetfont]，居然在玄关前发现……！

[font color=@3]画在便条纸上的“神隐之印”[resetfont]，竟然在大门前被发现了……！

[font color=@3]在便条纸上画的“神隐之印”[resetfont]竟然在玄关前被发现了……！"
"balloon#e6682e81f95fe303e05164ffd8635be6","既然发现了这个，[emb exp='tf.names.NPC.me']只在意一件事。","balloon#e6682e81f95fe303e05164ffd8635be6","机翻辅助：

既然发现了这个，[emb exp='tf.names.NPC.me']只在意一件事。

既然找到了这个，[emb exp='tf.names.NPC.me']只在意一件事。

既然找到了这个，[emb exp='tf.names.NPC.me']只关心一件事。"
"balloon#dea02d7d6e4bf8ccad881c347bd3ebbf","[emb exp='tf.names.NPC.chiyo']突然消失，这次的事件……","balloon#dea02d7d6e4bf8ccad881c347bd3ebbf","机翻辅助：

[emb exp='tf.names.NPC.chiyo']突然消失，这次的事件……

[emb exp='tf.names.NPC.chiyo']突然消失了，这次的一件事……

[emb exp='tf.names.NPC.chiyo']突然消失了，这次的事情……"
"balloon#d6e0841a974dd066184d03e3a1d20792","这不就表示[font color=@3]“式音岛神隐”[resetfont]又再度发生了吗？","balloon#d6e0841a974dd066184d03e3a1d20792","机翻辅助：

这不就表示[font color=@3]“式音岛神隐”[resetfont]又再度发生了吗？

这难道不是[font color=@3]式音岛神隐[resetfont]的再次到来吗。

这难道不是“式音岛神隐”[font color=@3]的再次上演吗？[resetfont]"
"balloon#395686d21b6a82405f774e7fc6f73256","[font color=@3][emb exp='tf.names.itsuki.NPC']怀疑这次的事件与“式音岛神隐”有关[resetfont]吗？","balloon#395686d21b6a82405f774e7fc6f73256","机翻辅助：

[font color=@3][emb exp='tf.names.itsuki.NPC']怀疑这次的事件与“式音岛神隐”有关[resetfont]吗？

[emb exp='tf.names.itsuki.NPC']是否怀疑此次事件与[font color=@3]式音岛神隐[resetfont]的关联。

[emb exp='tf.names.itsuki.NPC']是否怀疑此次事件与[font color=@3]式音岛神隐[resetfont]有关联？"
"balloon#a2acefa61f70fd532f2723b863e09525","[emb exp='tf.names.NPC.me']一个人应付不来。","balloon#a2acefa61f70fd532f2723b863e09525","机翻辅助：

[emb exp='tf.names.NPC.me']一个人应付不来。

[emb exp='tf.names.NPC.me']一个人根本应付不了。

[emb exp='tf.names.NPC.me']一个人可受不了。"
"balloon#c4b43750d3f8270f87f7dd370e5bd54d","我也想借助[emb exp='tf.names.NPC.itsuki']的力量。","balloon#c4b43750d3f8270f87f7dd370e5bd54d","机翻辅助：

我也想借助[emb exp='tf.names.NPC.itsuki']的力量。

希望也能借助[emb exp='tf.names.NPC.itsuki']的力量。

也希望借助[emb exp='tf.names.NPC.itsuki']的力量。"
"balloon#b779677fb203d3c6be7444ebf9e87e9b","我知道了，我会调查看看！""","balloon#b779677fb203d3c6be7444ebf9e87e9b","机翻辅助：

我知道了，我会调查看看！""

知道了，我去查一下！

好的，我查一下！"
"balloon#6c49f8d81456248d00bd2392f0a3fc92","谢谢，我很依赖你哦。","balloon#6c49f8d81456248d00bd2392f0a3fc92","机翻辅助：

谢谢，我很依赖你哦。

谢谢，我很依赖你。

谢谢，我靠你啦。"
"balloon#029773afe96a1417db7a97aac1807f98","没想到这次事件可能和“式音岛神隐”有关……！","balloon#029773afe96a1417db7a97aac1807f98","机翻辅助：

没想到这次事件可能和“式音岛神隐”有关……！

难道这次的事件和“式音岛神隐”有关系吗……！

没想到这次的事件竟然和“式音岛神隐”有关……！"
