"source","target","id","developer_comments"
"balloon#19bdc4c1d021302717b47483ced9770f","[emb exp='tf.npc_sysname']は樹のことを、[font color=@1]大きく信頼[resetfont]した。
（信用度：[emb exp='tf.before_credit'] → [emb exp='tf.after_credit']）","balloon#19bdc4c1d021302717b47483ced9770f",""
"balloon#931e9da944d5f9bb08b05cf66889738c","[emb exp='tf.npc_sysname']は樹のことをさらに、[font color=@1]信頼[resetfont]した。","balloon#931e9da944d5f9bb08b05cf66889738c",""
"balloon#973d11d7a3c9b2093245f56c8aa4f65a","[emb exp='tf.npc_sysname']は樹のことを少し、[font color=@1]信頼[resetfont]した。","balloon#973d11d7a3c9b2093245f56c8aa4f65a",""
"balloon#fafb6eebcf0aa39eb3e671312639ef29","[emb exp='tf.npc_sysname']は樹のことを少し、[font color=@1]警戒[resetfont]した。","balloon#fafb6eebcf0aa39eb3e671312639ef29",""
"javascript#7345c661f56da897f04c62f4469089d1","樹に対する全員の信用度が上昇した。","javascript#7345c661f56da897f04c62f4469089d1",""
"javascript#b7647383b6c3621806560afd1aea0d06","樹に対する全員の信用度が下降した。","javascript#b7647383b6c3621806560afd1aea0d06",""
"javascript#c68e304a80c795fa0bbaaabc33833581","調査フェーズ終了まで、${mist_save.TimeWarning}分","javascript#c68e304a80c795fa0bbaaabc33833581",""
"balloon#8352b38266c7fedb52cb0529a2e91ace","よし、今は他の人の疑問を[font color=@3]推理[resetfont]して解決しよう。","balloon#8352b38266c7fedb52cb0529a2e91ace","主人公"
"balloon#7121bd83fd23789f909150e812dc3918","[emb exp='tf.names.itsuki.NPC']を納得させられる答えを、[font color=@3]もう一度推理[resetfont]しよう。","balloon#7121bd83fd23789f909150e812dc3918","主人公"
"balloon#c6a275645edee466da6712117948c42e","よし、[emb exp='tf.names.itsuki.me']が推理するのに選んだ[font color=@3]手がかり[resetfont]は、
[font color=@3]十分な説得力[resetfont]があったみたいだ！","balloon#c6a275645edee466da6712117948c42e","主人公"
"balloon#2c7e8b2727eab0b87773bde007fa2a84","どうやら[emb exp='tf.names.itsuki_p.me']の推理には、[font color=@3]正しい手がかりが一部足りなかった[resetfont]みたいだ……。","balloon#2c7e8b2727eab0b87773bde007fa2a84","主人公"
"balloon#78ac3ddc71274dfdf1c4bfa64a591821","どうやら[emb exp='tf.names.itsuki.me']の推理は、[font color=@3]完全に見当違い[resetfont]だったみたいだ……。","balloon#78ac3ddc71274dfdf1c4bfa64a591821","主人公"
"balloon#2f958065b025cc29a8f682059fcabe56","そうだ、まずはすでに聞き出した疑問の答えを[font color=@3]推理[resetfont]しよう。","balloon#2f958065b025cc29a8f682059fcabe56","主人公"
"message10#4734c888c0119d921549643325c07c99","樹は[emb exp='tf.names.NPC.sysname']の主張に[font color=@1]同調[resetfont]した。","message10#4734c888c0119d921549643325c07c99","主人公"
"message10#5f8f0db8721183cc625a6511e63a68f9","樹は[emb exp='tf.names.NPC.sysname']の主張に[font color=@1]同調しなかった[resetfont]。","message10#5f8f0db8721183cc625a6511e63a68f9","主人公"
"message10#26076762d2a989cd17589a83cc0573e2","樹は[emb exp='tf.names.NPC.sysname']の主張を[font color=@1]否定[resetfont]した。","message10#26076762d2a989cd17589a83cc0573e2","主人公"
"message10#46ec3c795023baf839f9f5685101d0b8","樹は[emb exp='tf.names.NPC.sysname']に、自身の考えを伝えた。","message10#46ec3c795023baf839f9f5685101d0b8","主人公"
"balloon#b2a2d8000d32e7ce8c7279cbc94d17ac","よし、[emb exp='tf.names.itsuki.me']の考えを全員に伝える番だ。","balloon#b2a2d8000d32e7ce8c7279cbc94d17ac","主人公"
"balloon#31024f2c0bbba6968fdb18c9983f7c3b","おそらくチャンスはこの一度しかない！","balloon#31024f2c0bbba6968fdb18c9983f7c3b","主人公"
"balloon#93b5fbab7013ca43a0c5e470f7df31df","よし、[emb exp='tf.names.itsuki.me']の推理を全員に伝えるぞ！","balloon#93b5fbab7013ca43a0c5e470f7df31df","主人公"
"balloon#ec06304234f95abc751c328f56a97cef","これが[emb exp='tf.names.itsuki.me']の考えですが……","balloon#ec06304234f95abc751c328f56a97cef","主人公"
"balloon#914c2173a6c1e0edd04d1ee0c392f1e4","どうでしょうか？","balloon#914c2173a6c1e0edd04d1ee0c392f1e4","主人公"
"balloon#7c8331b049c8ce69474d47ed47861287","………………。","balloon#7c8331b049c8ce69474d47ed47861287","NPC"
"balloon#c0629178c3eebd834d58ab183610d95c","…………。","balloon#c0629178c3eebd834d58ab183610d95c","NPC"
"balloon#9c1a2d238dba9a227727e6958e4f48f5","……。","balloon#9c1a2d238dba9a227727e6958e4f48f5","NPC"
"balloon#9c131383a549af63132cb169bf24a193","いや、ここはあえて余計なことは言わず、黙っておこう……。","balloon#9c131383a549af63132cb169bf24a193","主人公"
"message10#826b2a409cc26bb25a1e5e68dcfc5d96","樹は[emb exp='tf.names.NPC.sysname']の疑問に対する答えを、全員に伝えた。","message10#826b2a409cc26bb25a1e5e68dcfc5d96",""
"balloon#9e25f3e577e550e5fa36fbf035671cb7","明確に否定できる根拠がない。","balloon#9e25f3e577e550e5fa36fbf035671cb7","主人公"
