"source","target","id","developer_comments"
"[0]/group","＜操作方法＞","[0]/group","id: 1"
"[0]/title","ゲームパッド","[0]/title","id: 1"
"[0]/text","　ゲームパッドでの操作方法は、以下の詳細から確認できます。","[0]/text","id: 1"
"[1]/group","＜操作方法＞","[1]/group","id: 2"
"[1]/title","キーボード","[1]/title","id: 2"
"[1]/text","　キーボードでの操作方法は、以下の詳細から確認できます。","[1]/text","id: 2"
"[2]/group","＜操作方法＞","[2]/group","id: 3"
"[2]/title","マウス","[2]/title","id: 3"
"[2]/text","　マウスでの操作方法は、以下の詳細から確認できます。","[2]/text","id: 3"
"[3]/group","＜ゲーム進行＞","[3]/group","id: 4"
"[3]/title","概要","[3]/title","id: 4"
"[3]/text","　ゲームは、2つのパートを交互に繰り返しながら進行していきます。<br><br>　　・物語を楽しむ“ストーリーパート”<br>　　・事件の謎を解き明かす“ミステリーパート”","[3]/text","id: 4"
"[4]/group","＜ゲーム進行＞","[4]/group","id: 5"
"[4]/title","ミステリーパート","[4]/title","id: 5"
"[4]/text","　ミステリーパートでは、3つのフェーズを順番に攻略していきます。<br><br>　　1. 調査フェーズ　　 … 会話を通じて、事件の真相に迫る。<br>　　2. 全体議論フェーズ … 容疑者全員で、推理を披露し合う。<br> 　　3. 投票フェーズ　　 … 容疑者全員で、犯人投票を行う。","[4]/text","id: 5"
"[5]/group","＜ゲーム進行＞","[5]/group","id: 6"
"[5]/title","ゲームオーバー","[5]/title","id: 6"
"[5]/text","　ストーリーパートでは、特定の選択肢を選んだ結果“GAME OVER”になる場合があります。<br>　ミステリーパートでは、投票フェーズで真犯人以外が最多得票を得ると“GAME OVER”になります。","[5]/text","id: 6"
"[6]/group","＜ゲーム進行＞","[6]/group","id: 7"
"[6]/title","コンティニュー １","[6]/title","id: 7"
"[6]/text","　ストーリーパートでのGAME OVER後は、以下の中から選択を行います。<br><br>　　・やり直さず先に進む<br>　　・ロード<br>　　・タイトルへ戻る","[6]/text","id: 7"
"[7]/group","＜ゲーム進行＞","[7]/group","id: 8"
"[7]/title","コンティニュー ２","[7]/title","id: 8"
"[7]/text","　ミステリーパートでのGAME OVER後は、以下の中から選択を行います。<br><br>　　・調査フェーズからやり直す<br>　　・全体議論フェーズからやり直す<br>　　・投票フェーズからやり直す<br>　　・やり直さず先に進む<br>　　・ロード<br>　　・タイトルへ戻る","[7]/text","id: 8"
"[8]/group","＜調査フェーズ＞","[8]/group","id: 9"
"[8]/title","概要","[8]/title","id: 9"
"[8]/text","　ミステリーパートの“調査フェーズ”では、<font color=""@1"">事件の真相にたどり着くチャンス</font>が与えられます。<br>　二人きりでの会話<font color=""@1"">“密談”</font>を通じて、相手が<font color=""@1"">事件に対し抱いている疑問</font>を探っていきます。","[8]/text","id: 9"
"[9]/group","＜調査フェーズ＞","[9]/group","id: 10"
"[9]/title","疑問の解決 １","[9]/title","id: 10"
