"source","target","id","developer_comments"
"balloon#583f7be9a9169decbdeb5973474da03f","[emb exp='f.npc_sysname']の疑問「[emb exp='f.doubt.title']」に対する答えの推理を伝えた。","balloon#583f7be9a9169decbdeb5973474da03f",""
"balloon#d8e63b4e5116f097315104e25c693f24","なるほど、その推理なら[emb exp='tf.names.NPC.me']も[font color=@3]納得できる[resetfont]よ。","balloon#d8e63b4e5116f097315104e25c693f24","NPC"
"balloon#734618aedb2c4d9919811d85ccba8fc8","それ、本当かい？","balloon#734618aedb2c4d9919811d85ccba8fc8","NPC"
"balloon#8e6ba8d73bd7f716d70d4a3082cd3bcd","その推理は、[font color=@3]ちょっと違う[resetfont]と思うな……。","balloon#8e6ba8d73bd7f716d70d4a3082cd3bcd","NPC"
"balloon#0712fd0d86d74b1a8b4889e19d76fa10","その推理は、[font color=@3]まったく違う[resetfont]と思うな……。","balloon#0712fd0d86d74b1a8b4889e19d76fa10","NPC"
"balloon#1e1cf5cccd0db3c354cfe8155bc07842","[emb exp='tf.names.itsuki_p.NPC']の疑問に答えられなくて、申し訳ないです……。","balloon#1e1cf5cccd0db3c354cfe8155bc07842","主人公"
"balloon#15cb9f3b91bf828e4aee88034d960629","いや、別に気にする必要はない。","balloon#15cb9f3b91bf828e4aee88034d960629","NPC"
"balloon#a639957be42740df9604809c46fedfbc","この件なんだけど……","balloon#a639957be42740df9604809c46fedfbc","NPC"
"balloon#b80efc251e2903fa7f54f11093428d25","両端に傷がつくような状況が[font color=@3]どこにあったのか[resetfont]が、鍵を握っている気がするよ。","balloon#b80efc251e2903fa7f54f11093428d25","NPC"
"balloon#e013bd3d768ff29637bc26b8ce8a57a1","諦めるわけにはいかない。","balloon#e013bd3d768ff29637bc26b8ce8a57a1","主人公"
"balloon#1e6987c78308313776a1e110f1bb3053","両端に傷がつくだなんて、もしかして[font color=@3]どこかに挟まれていた[resetfont]りしないだろうか？","balloon#1e6987c78308313776a1e110f1bb3053","主人公"
"speaker_主人公","主人公","speaker_主人公",""
